questionId,competencyId,indicatorId,jobId,behavioral,specific,observable,jobRelated,proportional,nonDiscriminatory,evidenceDefined,probeDefined,status
Q-MES-SVC-001,COMP-SVC-001,IND-SVC-001-A|IND-SVC-001-C|IND-SVC-001-D,MESERO,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-MES-COL-001,COMP-COL-001,IND-COL-001-A|IND-COL-001-B,MESERO,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-MES-ORG-001,COMP-ORG-001,IND-ORG-001-A|IND-ORG-001-B,MESERO,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-MES-SVC-002,COMP-SVC-002,IND-SVC-002-A|IND-SVC-002-B|IND-SVC-002-C,MESERO,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-MES-TRV-002,COMP-TRV-002,IND-TRV-002-A|IND-TRV-002-B,MESERO,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-VEN-SVC-002,COMP-SVC-002,IND-SVC-002-A|IND-SVC-002-B|IND-SVC-002-C,VENDEDOR,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-VEN-ORG-001,COMP-ORG-001,IND-ORG-001-A|IND-ORG-001-B,VENDEDOR,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-VEN-TRV-002,COMP-TRV-002,IND-TRV-002-A|IND-TRV-002-B,VENDEDOR,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-VEN-COL-001,COMP-COL-001,IND-COL-001-A|IND-COL-001-B,VENDEDOR,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
Q-VEN-SVC-001,COMP-SVC-001,IND-SVC-001-A|IND-SVC-001-C|IND-SVC-001-D,VENDEDOR,1,1,1,1,1,1,1,1,DRAFT/EXAMPLE
