item,requirement,source,applicability,risk,status,owner,requiredEvidence
constitutional_art1_no_discrimination,"No discriminación por origen, género, edad, discapacidad, religión, opiniones, estado civil u otro criterio contra la dignidad","Constitución Política — Art 1","DIRECTA — todo el proceso de selección","BAJO","VERIFICADO","Legal","Matriz de no discriminación aplicada por pregunta/probe (03/04) antes de uso productivo"
constitutional_art16_data_protection,"Protección de datos personales y acceso/corrección por el titular","Constitución Política — Art 16","DIRECTA — datos de candidatos","BAJO","VERIFICADO","Legal","Aviso/consentimiento actualizados (13/14)"
lft_art3_no_discrimination,"Prohibición de condiciones discriminatorias en el trabajo; lista no limitativa","Ley Federal del Trabajo — Art 3","DIRECTA — entrevista incluida en proceso de selección","BAJO para texto; MEDIO por revelación involuntaria","VERIFICADO","Legal + EvaluHR ops","Filtro por pregunta (03) + protocolo de revelación involuntaria (05) activo"
lft_arts132_135_employer_duties,"Obligaciones y prohibiciones del patrón trasladadas al proceso que EvaluHR opera","Ley Federal del Trabajo — Arts 132-135","INDIRECTA — EvaluHR como encargado","BAJO","VERIFICADO","Cliente + EvaluHR","Cláusula de rol responsable/encargado en contrato (13)"
new_lfpdppp_2025,"Tratamiento de datos personales de particulares conforme a la nueva ley (DOF 20-03-2025; vigor 21-03-2025; última reforma DOF 14-11-2025)","Nueva LFPDPPP — diputados.gob.mx (TEXTO VIGENTE); littler/ey/iapp/gtlaw","DIRECTA — EvaluHR encargado; cliente responsable","ALTO (mapeo de artículos pendiente)","LEGAL_REVIEW","Legal (abogado)","Mapeo textual de obligaciones A-06.4–A-06.8 a artículos de la nueva ley + revisión del Reglamento nuevo"
new_lfpdppp_reglamento,"Reglamento de la nueva LFPDPPP — alcance y mecánica","Reglamento de la LFPDPPP (diputados.gob.mx)","DIRECTA","MEDIO","LEGAL_REVIEW","Legal (abogado)","Lectura textual y mapeo operativo (aviso, plazos, ARCO)"
data_principles_purpose_proportionality,"Finalidad específica, licitud, consentimiento, proporcionalidad, lealtad, calidad","Nueva LFPDPPP (principios); referencia analítica: ley 2010 Art 6","DIRECTA — diseño de entrevista","BAJO","VERIFICADO (principio)","EvaluHR","5 preguntas de proporcionalidad por pregunta (A-06.4/A-06.7; re-verificado en 03)"
consent_informed,"Consentimiento informado previo con 11 elementos mínimos","Nueva LFPDPPP (consentimiento/información); 09-consent.md","DIRECTA — antes de cada entrevista","MEDIO","CONDICIONAL","Cliente + EvaluHR","Documento de consentimiento redactado y aprobado por abogado; registro de consentimiento"
sensitive_data_prohibition,"No recabar datos sensibles en entrevista; no conservar revelaciones involuntarias","Nueva LFPDPPP (datos sensibles); LFT Art 3","DIRECTA","ALTO si falla; BAJO con protocolo","CONDICIONAL","EvaluHR ops","Protocolo 05 operativo + entrenamiento M1/M3 impartido y evaluado"
arco_rights,"Acceso, rectificación, cancelación, oposición y revocación del titular","Nueva LFPDPPP (derechos ARCO); canal 11-access.md","DIRECTA","MEDIO","CONDICIONAL","Cliente responde; EvaluHR facilita canal","Canal ARCO definido en contrato (13) + pruebas de respuesta"
non_discrimination_lfped,"Prevención y eliminación de discriminación; acciones afirmativas; requisito esencial del puesto","LFPEPD (reforma DOF 14-11-2025)","DIRECTA","BAJO","VERIFICADO","Legal","Matriz 03/04 sin NO_PUBLICABLE activos"
conapred_criteria,"Criterios de no discriminación; NMX-R-025-SCFI-2015 voluntaria","CONAPRED (conapred.gob.mx; Programa Institucional 27-12-2025)","INDIRECTA — referencia de criterios","BAJO","VERIFICADO","Legal","No afirmar certificación NMX-R-025; alineación conceptual"
nom035_stps,"NOM-035 aplica a trabajadores (entorno psicosocial), no a candidatos","NOM-035-STPS-2018 (DOF)","NO APLICABLE a selección","BAJO (sobreafirmación)","VERIFICADO","Producto","No afirmar que la entrevista cumple/sustituye NOM-035"
dpa_authority_sabg,"Autoridad garante de protección de datos: Secretaría Anticorrupción y Buen Gobierno (INAI extinto)","Reforma 2025; gob.mx 09-05-2025","DIRECTA — quejas y notificaciones","MEDIO (transición procesal)","LEGAL_REVIEW","Legal (abogado)","Mecánica vigente de quejas/notificaciones ante SABG confirmada por abogado"
breach_notification,"Notificación de brechas de seguridad al cliente y a la autoridad","Nueva LFPDPPP + reforma 2025","DIRECTA","MEDIO","LEGAL_REVIEW","EvaluHR infra + Legal","Plan de brechas con plazos/destino (SABG) dictaminados"
international_transfers,"Garantías para transferencia internacional (cloud/sub-encargados)","Nueva LFPDPPP (transferencias); referencia analítica: Reglamento 2011 Art 74","DIRECTA si infra fuera de MX","MEDIO","LEGAL_REVIEW","Legal + infra","Mecanismo de garantías dictaminado; lista de sub-encargados en contrato"
retention_policy,"Plazos de conservación por categoría; '2 años' = RECOMENDADO, no obligación legal","Nueva LFPDPPP (minimización); 10-retention.md","DIRECTA","MEDIO","LEGAL_REVIEW","Legal + Cliente","Plazo(s) definitivos dictaminados; redacción como política de conservación"
access_control,"Mínimo privilegio 8 roles × 7 acciones; logs de acceso/export/delete","Nueva LFPDPPP (seguridad); 11-access.md","DIRECTA","BAJO (diseño)","VERIFICADO (diseño)","EvaluHR infra","Implementación técnica futura con prueba de controles (fuera de A-06.8)"
ai_limits,"IA solo asiste (lista cerrada de 5); prohibido inferir/decidir/clasificar","07-ai-legal-boundaries.md; Nueva LFPDPPP (transparencia)","DIRECTA","ALTO si falla; BAJO con controles","VERIFICADO (diseño)","EvaluHR + Legal","Anexo de IA en contrato (13); logs de interacción IA"
no_automated_decision,"Ninguna decisión laboral automatizada; IA nunca base única","08-automation.md; Nueva LFPDPPP (decisión humana)","DIRECTA","ALTO si falla","VERIFICADO (diseño)","EvaluHR + Cliente","Mapa 08 mantenido; verificación post-implementación"
involuntary_disclosure_protocol,"Protocolo obligatorio de 6 pasos; flag sin contenido; revisión ante riesgo","05-involuntary-disclosure.md; piloto M-H/V-H","DIRECTA","MEDIO","CONDICIONAL","EvaluHR ops","Entrenamiento impartido; 0 fugas medibles en piloto de campo"
bfoq_procedure,"BFOQ excepcional: dictamen legal + aprobación dual + verificación por documento","06-bfoq.md; LFT Art 3; LFPEPD","EXCEPCIONAL (0 activos)","BAJO","VERIFICADO (procedimiento)","Legal + Cliente","Dictamen por cada futuro BFOQ; registro con legalReviewId"
privacy_notice_update,"Aviso de privacidad actualizado para la entrevista","14-privacy-impact.md (11 filas)","DIRECTA","ALTO hasta cierre","PENDIENTE (OBLIGATORIO)","Legal + Cliente","Aviso revisado por abogado y publicado antes de activación"
contract_update,"Contrato maestro actualizado (18 cambios identificados)","13-contract-impact.md (18 filas)","DIRECTA","ALTO hasta cierre","PENDIENTE (OBLIGATORIO)","Legal + Cliente","Contrato firmado con anexos (IA, revelación, retención, ARCO, brechas)"
human_review_separation,"Revisor ≠ entrevistador (EX-1..EX-4 controladas); append-only; calibración obligatoria","08-automation.md; A-06.7 14-human-review","DIRECTA","BAJO","VERIFICADO (diseño)","EvaluHR ops","Pruebas de segregación post-implementación"
field_pilot_nonproductive,"Piloto de campo voluntario, sin consecuencias, sin uso para contratar","15-field-pilot.md + field-pilot-plan.csv","DIRECTA (pre-activación)","MEDIO","CONDICIONAL","EvaluHR ops + Cliente","Consentimientos de piloto; informe de hallazgos; purge registrado"
interview_g7_legal_review,"INTERVIEW-G7 NO APPROVED hasta dictamen legal profesional","19-gates.md","DIRECTA — bloqueo CRITICAL de activación","ALTO","NO_APPROVED (bloqueo vigente)","Legal (abogado)","Dictamen escrito sobre 01/02/10/13/14 que cierre G7"
