instrument,criterionCategory,relationship,strength,evidenceBasis,permittedInference,prohibitedInference,status
"IPIP-50-MX v1.0","A-CONOCIMIENTOS","NINGUNA — transversalidad de categorías prohibida","NOT_SUPPORTED","Taxonomía A-02.1 (integridad de constructos); A-02.3 PASO 4","Ninguno","Usar rasgos como conocimiento/aptitud; convertir IPIP en examen","PROHIBIDO"
"IPIP-50-MX v1.0","B-HABILIDADES-COMPETENCIAS","NINGUNA — transversalidad de categorías prohibida","NOT_SUPPORTED","Taxonomía A-02.1; A-02.3 PASO 6 (sin score desde Big Five)","Ninguno","Derivar competencia o habilidad desde rasgos","PROHIBIDO"
"IPIP-50-MX v1.0","C-EXPERIENCIA-FORMACION","NINGUNA — transversalidad de categorías prohibida","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","Sustituir verificación de experiencia con rasgos","PROHIBIDO"
"IPIP-50-MX v1.0","D-PERSONALIDAD","Rasgo descriptivo ↔ criterio D documentado como hipótesis metodológica","HYPOTHESIS (máximo hoy)","A-01.3 (evidencia de constructo del IPIP; NO evidencia rasgo→criterio); PASO 5 (ES-1..ES-5 inexistentes)","Lectura descriptiva P8 junto al criterio D; insumo de entrevista sobre áreas ya identificadas (AI-5)","Cumplimiento de criterio; aptitud; desempeño; integridad; perfil ideal; cortes; percentiles; comparación con target","VIGENTE-CON-RESTRICCIONES"
"IPIP-50-MX v1.0","E-INTEGRIDAD","NINGUNA — prohibido como proxy de integridad","NOT_SUPPORTED","Taxonomía A-02.1; I-INT-1","Ninguno","Inferir honestidad/confiabilidad desde rasgos","PROHIBIDO"
"Prueba de conocimientos (módulo actual)","A-CONOCIMIENTOS","Blueprint → contenido del criterio (validez de contenido)","LIMITED","Ruta correcta pero incompleta: sin blueprint formal ni clave persistida (K-INS-1); K-VAL-1..8 sin cumplir (PASO 6)","Con clave válida y K-VAL completo: aciertos X/Y (escenario A de A-02.3); sin ella: INSUFFICIENT con causa (jamás 0)","Capacidad general; inteligencia; competencia; 0 artefactual como resultado; puntuar con lo respondido","BLOQUEADO-HASTA-K-VAL"
"Prueba de conocimientos (módulo actual)","B-HABILIDADES-COMPETENCIAS","NINGUNA — saber ≠ hacer","NOT_SUPPORTED","A-02.1 categoría A (qué NO mide)","Ninguno","Usar aciertos como competencia o habilidad","PROHIBIDO"
"Prueba de conocimientos (módulo actual)","C-EXPERIENCIA-FORMACION","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","Sustituir acreditación de experiencia con examen","PROHIBIDO"
"Prueba de conocimientos (módulo actual)","D-PERSONALIDAD","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","Usar examen como medida de rasgos","PROHIBIDO"
"Prueba de conocimientos (módulo actual)","E-INTEGRIDAD","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","Usar examen como proxy de honestidad","PROHIBIDO"
"Evaluación de competencias (método futuro)","A-CONOCIMIENTOS","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","Sustituir prueba de conocimientos con escenarios conductuales","PROHIBIDO"
"Evaluación de competencias (método futuro)","B-HABILIDADES-COMPETENCIAS","Indicador conductual observado ↔ criterio B (cadena PASO 7)","NOT_SUPPORTED (NO_METHOD)","PASO 7: P-COMP-1..6 sin cumplir; A-02.3 PASO 6","Hoy ninguno; futuro: lectura descriptiva por indicador con evaluador humano y revisión","Score compuesto por defecto; puntuar desde Big Five/auto-reporte/entrevista sin método/IA; 'competencia medida'","NO_METHOD"
"Evaluación de competencias (método futuro)","C-EXPERIENCIA-FORMACION","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","Sustituir verificación documental","PROHIBIDO"
"Evaluación de competencias (método futuro)","D-PERSONALIDAD","NINGUNA — constructos separados (competencia ≠ rasgo)","NOT_SUPPORTED","Taxonomía A-02.1 (integridad de constructos)","Ninguno","Mezclar constructos o convertir uno en otro","PROHIBIDO"
