sessionId,jobExample,questionId,competencyId,indicatorId,responseType,evidenceState,reviewerA,reviewerB,agreement,duration,biasIssue,legalIssue,aiUsed,result,notes
S-PIL-01,MESERO,Q-MES-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.5,NONE,NONE,SUMMARY,REVIEWED_OK,"Patron A sintetico; resumen IA verificado por humano (AI_DRAFT)"
S-PIL-01,MESERO,Q-MES-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.2,NONE,NONE,NONE,REVIEWED_OK,"Patron G; Action parcial; regla R1 aplicada"
S-PIL-01,MESERO,Q-MES-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.4,NONE,NONE,NONE,REVIEWED_OK,"Patron A; coordinacion con cocina"
S-PIL-01,MESERO,Q-MES-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,2.9,NONE,NONE,NONE,REVIEWED_OK,"Patron A; priorizacion clara"
S-PIL-01,MESERO,Q-MES-TRV-002,COMP-TRV-002,IND-TRV-002-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,3.6,NONE,NONE,NONE,REVIEWED_OK,"Patron C; UNI-005 aplicada; regla H-2"
S-PIL-02,MESERO,Q-MES-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,4.1,HALO,NONE,NONE,REVIEWED_OK,"Patron J; halo autodetectado; 2+ ejemplos"
S-PIL-02,MESERO,Q-MES-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.3,NONE,NONE,NONE,REVIEWED_OK,"Patron A; reclamo resuelto"
S-PIL-02,MESERO,Q-MES-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.7,NONE,NONE,NONE,REVIEWED_OK,"Patron G; Action parcial"
S-PIL-02,MESERO,Q-MES-ORG-001,COMP-ORG-001,IND-ORG-001-A,GENERAL_CLAIM,INSUFFICIENT,REV-01,REV-02,AGREE,2.6,NONE,NONE,NONE,REVIEWED_OK,"Patron B; vago; ancla CAL-24"
S-PIL-02,MESERO,Q-MES-TRV-002,COMP-TRV-002,IND-TRV-002-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.2,NONE,NONE,NONE,REVIEWED_OK,"Patron A; ajuste de rutina"
S-PIL-03,MESERO,Q-MES-SVC-001,COMP-SVC-001,IND-SVC-001-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,2.6,NONE,NONE,NONE,REVIEWED_OK,"Patron C; UNI-005; H-2"
S-PIL-03,MESERO,Q-MES-SVC-002,COMP-SVC-002,IND-SVC-002-A,GENERAL_CLAIM,INSUFFICIENT,REV-01,REV-02,AGREE,2.4,NONE,NONE,NONE,REVIEWED_OK,"Patron B"
S-PIL-03,MESERO,Q-MES-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.0,NONE,NONE,NONE,REVIEWED_OK,"Patron J; 2 ejemplos"
S-PIL-03,MESERO,Q-MES-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,2.5,NONE,NONE,NONE,REVIEWED_OK,"Patron G"
S-PIL-03,MESERO,Q-MES-TRV-002,COMP-TRV-002,IND-TRV-002-A,CONCRETE_BEHAVIOR,INVALID,REV-01,REV-02,DISAGREE-STATE,3.4,NONE,UNINVITED_DISCLOSURE,NONE,CALIBRATION_APPLIED,"UNINVITED_DISCLOSURE=YES; protocolo 05 integro; sin contenido registrado; DIS-01"
S-PIL-04,MESERO,Q-MES-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.8,NONE,NONE,NONE,REVIEWED_OK,"Patron A"
S-PIL-04,MESERO,Q-MES-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,PENDING_REVIEW,REV-01,REV-02,DISAGREE-STATE,4.4,NONE,NONE,NONE,CALIBRATION_APPLIED,"Patron E; resultado sin conducta; CAL-21; DIS-02"
S-PIL-04,MESERO,Q-MES-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.3,NONE,NONE,NONE,REVIEWED_OK,"Patron A"
S-PIL-04,MESERO,Q-MES-ORG-001,COMP-ORG-001,IND-ORG-001-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,3.1,NONE,NONE,NONE,REVIEWED_OK,"Patron C"
S-PIL-04,MESERO,Q-MES-TRV-002,COMP-TRV-002,IND-TRV-002-A,GENERAL_CLAIM,INSUFFICIENT,REV-01,REV-02,AGREE,2.8,NONE,NONE,NONE,REVIEWED_OK,"Patron B; CAL-25"
S-PIL-05,MESERO,Q-MES-SVC-001,COMP-SVC-001,IND-SVC-001-A,GENERAL_CLAIM,INSUFFICIENT,REV-01,REV-02,AGREE,2.7,NONE,NONE,NONE,REVIEWED_OK,"Patron B"
S-PIL-05,MESERO,Q-MES-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.6,NONE,NONE,NONE,REVIEWED_OK,"Patron A; equidad via PROBE-SVC-002-A"
S-PIL-05,MESERO,Q-MES-COL-001,COMP-COL-001,IND-COL-001-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,3.2,NONE,NONE,NONE,REVIEWED_OK,"Patron C"
S-PIL-05,MESERO,Q-MES-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONTRADICTION,PENDING_REVIEW,REV-01,REV-02,DISAGREE-RATIONALE,4.0,NONE,NONE,NONE,CALIBRATION_APPLIED,"Patron F; conflicto CV; protocolo C-1; DIS-03 rationale"
S-PIL-05,MESERO,Q-MES-TRV-002,COMP-TRV-002,IND-TRV-002-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.5,NONE,NONE,NONE,REVIEWED_OK,"Patron G"
S-PIL-06,MESERO,Q-MES-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.3,NONE,NONE,NONE,REVIEWED_OK,"Patron G"
S-PIL-06,MESERO,Q-MES-SVC-002,COMP-SVC-002,IND-SVC-002-A,NO_INFORMATION,INSUFFICIENT,REV-01,REV-02,AGREE,2.5,NONE,NONE,NONE,REVIEWED_OK,"Patron I; sin evidencia"
S-PIL-06,MESERO,Q-MES-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,INSUFFICIENT,REV-01,REV-02,AGREE,4.2,NONE,NONE,NONE,REVIEWED_OK,"Patron D; PROBE-COL-001-D; stop rule; sin Action propia"
S-PIL-06,MESERO,Q-MES-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.4,CENTRAL_TENDENCY,NONE,NONE,REVIEWED_OK,"Patron A; tendencia central revisada y nivel confirmado"
S-PIL-06,MESERO,Q-MES-TRV-002,COMP-TRV-002,IND-TRV-002-A,NO_INFORMATION,INSUFFICIENT,REV-01,REV-02,AGREE,2.4,NONE,NONE,NONE,REVIEWED_OK,"Patron I"
S-PIL-07,VENDEDOR,Q-VEN-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,5.2,NONE,NONE,NONE,REVIEWED_OK,"Patron A; sesion larga"
S-PIL-07,VENDEDOR,Q-VEN-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,4.6,LENIENCY,NONE,MISSING_INFO,REVIEWED_OK,"Patron G; IA lista faltantes (AI_DRAFT); INC-PIL-003 leniency"
S-PIL-07,VENDEDOR,Q-VEN-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,7.4,NONE,NONE,NONE,REVIEWED_OK,"Patron D; PROBE-COL-001-D exitoso; Action propia parcial emerge"
S-PIL-07,VENDEDOR,Q-VEN-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,5.0,NONE,NONE,NONE,REVIEWED_OK,"Patron A"
S-PIL-07,VENDEDOR,Q-VEN-TRV-002,COMP-TRV-002,IND-TRV-002-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,6.4,NONE,NONE,NONE,REVIEWED_OK,"Patron C; redirecciones multiples"
S-PIL-08,VENDEDOR,Q-VEN-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,4.0,NONE,NONE,NONE,REVIEWED_OK,"Patron J"
S-PIL-08,VENDEDOR,Q-VEN-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.4,NONE,NONE,NONE,REVIEWED_OK,"Patron A"
S-PIL-08,VENDEDOR,Q-VEN-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.8,NONE,NONE,NONE,REVIEWED_OK,"Patron A; accion propia clara"
S-PIL-08,VENDEDOR,Q-VEN-ORG-001,COMP-ORG-001,IND-ORG-001-A,GENERAL_CLAIM,INSUFFICIENT,REV-01,REV-02,AGREE,2.7,NONE,NONE,NONE,REVIEWED_OK,"Patron B"
S-PIL-08,VENDEDOR,Q-VEN-TRV-002,COMP-TRV-002,IND-TRV-002-A,CONCRETE_BEHAVIOR,INVALID,REV-01,REV-02,AGREE,4.3,NONE,UNINVITED_DISCLOSURE,NONE,PROTOCOL_APPLIED,"UNINVITED_DISCLOSURE=YES; protocolo 05; sin contenido registrado; patron H"
S-PIL-09,VENDEDOR,Q-VEN-SVC-001,COMP-SVC-001,IND-SVC-001-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,3.2,NONE,NONE,NONE,REVIEWED_OK,"Patron C"
S-PIL-09,VENDEDOR,Q-VEN-SVC-002,COMP-SVC-002,IND-SVC-002-A,GENERAL_CLAIM,INSUFFICIENT,REV-01,REV-02,AGREE,2.9,NONE,NONE,NONE,REVIEWED_OK,"Patron B"
S-PIL-09,VENDEDOR,Q-VEN-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,INSUFFICIENT,REV-01,REV-02,DISAGREE-STATE,5.8,NONE,NONE,NONE,CALIBRATION_APPLIED,"Patron D; COL-001-D stop rule; DIS-04; criterio conservador prevalece"
S-PIL-09,VENDEDOR,Q-VEN-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.1,NONE,NONE,NONE,REVIEWED_OK,"Patron G"
S-PIL-09,VENDEDOR,Q-VEN-TRV-002,COMP-TRV-002,IND-TRV-002-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.3,NONE,NONE,NONE,REVIEWED_OK,"Patron A; protocolo 05 en vigilancia sin incidente"
S-PIL-10,VENDEDOR,Q-VEN-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.6,CONFIRMATION,NONE,NONE,REVIEWED_OK,"Patron A; confirmacion revisada; INC-PIL-009"
S-PIL-10,VENDEDOR,Q-VEN-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,PENDING_REVIEW,REV-01,REV-02,AGREE,4.2,NONE,NONE,NONE,PENDING,"Patron E; CAL-21; requiere informacion adicional fuera de alcance del piloto"
S-PIL-10,VENDEDOR,Q-VEN-COL-001,COMP-COL-001,IND-COL-001-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,3.4,NONE,NONE,NONE,REVIEWED_OK,"Patron C; UNI-005"
S-PIL-10,VENDEDOR,Q-VEN-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONTRADICTION,PENDING_REVIEW,REV-01,REV-02,DISAGREE-INDICATOR,4.5,NONE,NONE,NONE,CALIBRATION_APPLIED,"Patron F; C-1; DIS-05 indicador resuelto con RM-1"
S-PIL-10,VENDEDOR,Q-VEN-TRV-002,COMP-TRV-002,IND-TRV-002-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.2,NONE,NONE,NONE,REVIEWED_OK,"Patron G"
S-PIL-11,VENDEDOR,Q-VEN-SVC-001,COMP-SVC-001,IND-SVC-001-A,GENERAL_CLAIM,INSUFFICIENT,REV-01,REV-02,AGREE,2.8,NONE,NONE,NONE,REVIEWED_OK,"Patron B"
S-PIL-11,VENDEDOR,Q-VEN-SVC-002,COMP-SVC-002,IND-SVC-002-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.4,NONE,NONE,NONE,REVIEWED_OK,"Patron A"
S-PIL-11,VENDEDOR,Q-VEN-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.5,NONE,NONE,NONE,REVIEWED_OK,"Patron G"
S-PIL-11,VENDEDOR,Q-VEN-ORG-001,COMP-ORG-001,IND-ORG-001-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,AGREE,3.3,NONE,NONE,NONE,REVIEWED_OK,"Patron C; duracion estimada (INC-PIL-008)"
S-PIL-11,VENDEDOR,Q-VEN-TRV-002,COMP-TRV-002,IND-TRV-002-A,NO_INFORMATION,INSUFFICIENT,REV-01,REV-02,AGREE,2.6,NONE,NONE,NONE,REVIEWED_OK,"Patron I; sin ejemplo disponible"
S-PIL-12,VENDEDOR,Q-VEN-SVC-001,COMP-SVC-001,IND-SVC-001-A,CONCRETE_BEHAVIOR,LIMITED,REV-01,REV-02,AGREE,3.1,NONE,NONE,NONE,REVIEWED_OK,"Patron G"
S-PIL-12,VENDEDOR,Q-VEN-SVC-002,COMP-SVC-002,IND-SVC-002-A,NO_INFORMATION,INSUFFICIENT,REV-01,REV-02,AGREE,2.7,NONE,NONE,NONE,REVIEWED_OK,"Patron I"
S-PIL-12,VENDEDOR,Q-VEN-COL-001,COMP-COL-001,IND-COL-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,4.1,NONE,NONE,PROBE_SUGGESTION,REVIEWED_OK,"Patron J; IA sugirio probe aprobado (AI_DRAFT); humano decidio"
S-PIL-12,VENDEDOR,Q-VEN-ORG-001,COMP-ORG-001,IND-ORG-001-A,CONCRETE_BEHAVIOR,VALID,REV-01,REV-02,AGREE,3.0,NONE,NONE,NONE,REVIEWED_OK,"Patron A"
S-PIL-12,VENDEDOR,Q-VEN-TRV-002,COMP-TRV-002,IND-TRV-002-A,HYPOTHETICAL,LIMITED,REV-01,REV-02,DISAGREE-STATE,3.6,NONE,NONE,NONE,CALIBRATION_APPLIED,"Patron C; DIS-06; H-2 LIMITED maximo"
