questionId,beforeClassification,issue,proposedChange,probeChange,legalStatus,methodologicalStatus,decision,version
Q-MES-SVC-001,STRONG,"Ninguno — diseño validado en piloto (M-A/M-B/M-C diferenciaron correctamente)","Ninguno (texto estable)","Ninguno","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE","KEEP_FOR_REVIEW","v1.0"
Q-MES-SVC-002,STRONG,"Divergencia inter-evaluador M-G: la rúbrica v1 no especificaba qué fragmento de Action cubre qué indicador","Sin cambio de texto; añadir anclas por indicador IND-SVC-002-A/C (rúbrica v2, regla RM-1) y caso M-G como referencia de calibración","Ninguno (plan de uso formalizado en 03-probe-refinement.md)","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE (divergencia resuelta por diseño)","KEEP_FOR_REVIEW","v1.0 + rubric-v2-DRAFT"
Q-MES-COL-001,STRONG,"Ninguno — mantenimiento preventivo por simetría de competencia","Ninguno (texto estable)","PROBE-COL-001-D disponible con la misma condición de uso que Q-VEN-COL-001 (narrativa colectiva)","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE","KEEP_FOR_REVIEW","v1.0"
Q-MES-ORG-001,STRONG,"Ninguno — diseño validado (M-E resultado, M-F conflicto)","Ninguno","Ninguno","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE","KEEP_FOR_REVIEW","v1.0"
Q-MES-TRV-002,STRONG,"Revelación involuntaria (M-H, embarazo) manejada correctamente pero dependía del criterio del entrevistador","Sin cambio de texto; módulo de entrenamiento M1/M3 + regla operativa de revelación (no registrar, no profundizar, retomar conducta)","Ninguno","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE (condición de entrenamiento)","KEEP_FOR_REVIEW","v1.0"
Q-VEN-SVC-001,STRONG,"Ninguno — diseño validado (V-A/V-G)","Ninguno","Ninguno","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE","KEEP_FOR_REVIEW","v1.0"
Q-VEN-SVC-002,STRONG,"Ninguno — diseño validado (V-B/V-C)","Ninguno","Ninguno","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE","KEEP_FOR_REVIEW","v1.0"
Q-VEN-COL-001,ACCEPTABLE,"En V-D los probes existentes no extrajeron Action propia; riesgo de atribución indebida o INSUFFICIENT sistemático en colaboración con supervisor","Sin cambio de texto; corrección a nivel de plan de probes + entrenamiento de tono no confrontativo","PROBE-COL-001-D '¿Qué hiciste tú, más allá de lo que hizo tu supervisor u otro vendedor?' — NUEVO, DRAFT, obligatorio si narrativa colectiva; máx 1 uso; stop si no emerge Action propia","PUBLICABLE (conservado)","REQUIERE RE-PILOTO DEL PROBE NUEVO","REVISE","v1.0 + probe-set v1.1-DRAFT"
Q-VEN-ORG-001,STRONG,"Ninguno — diseño validado (V-E/V-J)","Ninguno","Ninguno","PUBLICABLE (conservado)","EVIDENCIA METODOLÓGICA SUFICIENTE","KEEP_FOR_REVIEW","v1.0"
Q-VEN-TRV-002,ACCEPTABLE,"Revelación involuntaria (V-H, religión) dependía del criterio del entrevistador; sin material de entrenamiento operativizado","Sin cambio de texto; regla operativa de revelación en la guía + módulo M1/M3 + checkpoint de calibración con M-H/V-H","Ninguno (no se requiere probe nuevo)","PUBLICABLE (conservado)","REQUIERE ENTRENAMIENTO IMPARTIDO Y EVALUADO","REVISE","v1.0 + regla-operativa v1.1-DRAFT"
