requirement,legalSource,article,application,evidenceRequired,owner,status,legalReview
No discriminación,"Constitución Política","Art 1","Directa — todo el proceso de selección","Cláusula de no discriminación (13) aplicada; matriz 03/04 de A-06.8","Legal + Cliente","BORRADOR PREPARADO","YES — dictamen de cláusula"
No discriminación laboral,"Ley Federal del Trabajo","Art 3 (párr. 2 y sigs.)","Directa — entrevista incluida en selección","Cláusula 13; atributos prohibidos listados","Legal + Cliente","BORRADOR PREPARADO","YES"
Protección de datos personales,"Constitución Política","Art 16","Directa — datos de candidatos","Aviso + consentimiento + ARCO","Cliente (responsable)","BORRADOR PREPARADO","YES"
Marco de protección de datos (ley vigente),"Nueva LFPDPPP (DOF 20-03-2025; vigor 21-03-2025; última reforma DOF 14-11-2025)","Numeración pendiente de confirmación textual [LEGAL_REVIEW]","Directa — todo el paquete","Mapeo textual artículo por artículo","Legal (abogado)","BORRADOR PREPARADO","YES — CRÍTICO"
Reglamento de la ley de datos,"Reglamento de la Nueva LFPDPPP","Pendiente de lectura textual","Directa — mecánica operativa","Revisión textual","Legal (abogado)","ABIERTO","YES — CRÍTICO"
Finalidad y proporcionalidad,"Nueva LFPDPPP (principios)","[artículo exacto: LEGAL_REVIEW]","Directa — finalidad del contrato y aviso","Cláusula 3; aviso §2; minimización de categorías","Cliente + Legal","BORRADOR PREPARADO","YES"
Consentimiento,"Nueva LFPDPPP (consentimiento/información)","[artículo exacto: LEGAL_REVIEW]","Directa — documento 05","Documento de consentimiento aprobado + registro de versión","Cliente + Legal","BORRADOR PREPARADO","YES — forma jurídica"
Datos sensibles,"Nueva LFPDPPP (datos sensibles)","[artículo exacto: LEGAL_REVIEW]","Directa — prohibición + protocolo","Anexo 3 (protocolo de revelación involuntaria)","EvaluHR + Legal","BORRADOR PREPARADO","YES — alcance del registro mínimo"
Derechos ARCO,"Nueva LFPDPPP (ARCO)","[artículo exacto: LEGAL_REVIEW]","Directa — anexo 11","Canal definido; plazos confirmados","Cliente atiende; EvaluHR ejecuta","BORRADOR PREPARADO","YES — plazos"
Transferencias internacionales,"Nueva LFPDPPP (transferencias)","[artículo exacto: LEGAL_REVIEW]","Condicional — si proveedor fuera de México","Garantías + información al titular","Legal + EvaluHR infra","ABIERTO (proveedores sin confirmar)","YES"
Encargados/subencargados,"Nueva LFPDPPP (encargamiento)","[artículo exacto: LEGAL_REVIEW]","Directa — anexo 10","Lista vigente + contratos con obligaciones equivalentes","EvaluHR","BORRADOR PREPARADO","YES — mecanismo de autorización"
Decisiones automatizadas,"Nueva LFPDPPP + análisis vigente","[artículo exacto: LEGAL_REVIEW]","Directa — cláusula 12 + anexos 1/6","Posición de diseño: sin decisión automatizada; IA nunca base única","Legal","BORRADOR PREPARADO","YES"
Seguridad del tratamiento,"Nueva LFDPPP (seguridad)","[artículo exacto: LEGAL_REVIEW]","Directa — anexo 12","Descripción de medidas SIN certificaciones","EvaluHR infra","BORRADOR PREPARADO","YES — adecuación al riesgo"
Conservación/minimización,"Nueva LFPDPPP (principios)","[artículo exacto: LEGAL_REVIEW]","Directa — anexo 9","Plazos por categoría [PLAZO POR DICTAMEN]","Legal + Cliente","ABIERTO (plazos)","YES — CRÍTICO"
Notificación de brechas,"Reforma 2025 (autoridad garante SABG)","[mecánica exacta: LEGAL_REVIEW]","Directa — cláusula 17","Plan de brechas con destinatario vigente","EvaluHR infra + Legal","ABIERTO","YES"
Autoridad garante,"Reforma 2025: INAI extinto; SABG asume (gob.mx 09-05-2025)","N/A","Directa — quejas y notificaciones","Referencias actualizadas en paquete (0 menciones INAI en borradores)","Legal","RESUELTO EN BORRADOR","YES — confirmación procesal"
Requisito esencial del puesto (BFOQ)","LFT Art 3; LFPEPD (vigente, reforma 14-11-2025)","Art 3 LFT; LFPEPD arts. según texto vigente","Excepcional — 0 activos","Procedimiento de excepción con dictamen (referencia A-06.8 06-bfoq)","Legal + Cliente","BORRADOR (cláusula 13 §3)","YES por cada futuro caso"
Criterios CONAPRED,"CONAPRED / NMX-R-025-SCFI-2015","NMX voluntaria","Indirecta — referencia","No afirmar certificación","Legal","RESUELTO EN BORRADOR","NO"
NOM-035,"NOM-035-STPS-2018","N/A","No aplicable a candidatos","No afirmar que la entrevista la sustituye","Producto","RESUELTO EN BORRADOR","NO"
Verificación de identidad/partes,"Código de Comercio / práctica contractual","N/A","Directa — firma del contrato","Instrumento de facultades de Manuel Araujo Zenteno; datos fiscales de las partes","Legal","ABIERTO","YES — CRÍTICO para firma"
