sourceType,status,permittedOutput,prohibitedOutput,reviewRequired,notes
"INSTRUMENTO_PERSONALIDAD (IPIP-50-MX)","VALID","Resultado de evaluación con instrumento y versión; tendencias de respuesta por 5 dimensiones (raw 10-50; visual 0-100 no percentil); lectura descriptiva determinista; insumo de contexto para revisión humana anclado a criterios D aprobados","Conversión de cualquier dimensión en cumplimiento, incumplimiento, aptitud, recomendación laboral, candidato ideal o predictor; entrada a scores agregados o overall; percentil/baremo/norma","Según regla (lectura de rasgos siempre con disclaimer P8 y calificador P6)","Herencia A-01.3/A-02.2 sin excepciones; sin criterios D aprobados el resultado permanece como salida de instrumento y no alimenta interpretación"
"INSTRUMENTO_PERSONALIDAD (IPIP-50-MX)","INSUFFICIENT","Información insuficiente para evaluar este criterio (por dimensión afectada) con causa (PARTIAL_RESPONSE o TECH_FAILURE); conservación del dato crudo respondido","Mostrar 0 o prorrateo de la dimensión incompleta; completar con estimaciones; señal negativa sobre la persona","Sí","La incompletud es por dimensión; las dimensiones completas conservan su raw propio (herencia A-02.2 PASO 11)"
"INSTRUMENTO_CONOCIMIENTO (con correctAnswer válida, K1-K6)","VALID","Lectura de dominio declarativo: aciertos X/Y sobre el contenido definido del criterio (CORRECT_OVER_TOTAL) con revisión humana","Inferir habilidad de ejecución o desempeño; usar como única base de decisión; comparar entre puestos sin equiparación","Sí","Único escenario con score válido de conocimientos (PASO 5, escenario A)"
"INSTRUMENTO_CONOCIMIENTO (sin correctAnswer persistida)","INSUFFICIENT","Información insuficiente para evaluar este criterio + causa (clave de respuestas no válida); regla K-INS-1","Mostrar el 0 artefactual (knowledgeScore=0) como resultado; atribuir el 0 a la persona; usarlo en cualquier cálculo","Sí","Caso vigente en puestos generados; corrección de correctAnswer sigue pendiente de autorización (A-02.2 PASO 5)"
"INSTRUMENTO_CONOCIMIENTO (parcial / con preguntas no validadas / score no reconstruible)","INSUFFICIENT","Información insuficiente para evaluar este criterio + causa (PARTIAL_RESPONSE, QUALITY_FAIL o TECH_FAILURE)","Prorratear o puntuar con lo respondido; rescatar score parcial de preguntas válidas; reciclar respuestas parciales","Sí","Escenarios C, D y E del PASO 5; el incidente queda en el audit trail"
"COMPETENCIA (estado actual: sin método)","INSUFFICIENT","Información insuficiente para evaluar este criterio + causa (no existe método aprobado; NO_METHOD); auto-reporte solo como contexto LIMITED","Puntajes de competencia desde Big Five, auto-reporte o entrevista sin método; niveles de dominio sin diseño aprobado; IA evaluando competencias","Sí","Regla R2 de A-02.2; el estado solo se levanta con el checklist de 6 puertas del PASO 6"
"COMPETENCIA (futuro: método conductual aprobado y versionado)","VALID","Lectura descriptiva por indicador conductual observado (hecho observado, evaluador identificado, fecha, método con versión); revisión humana siempre","Score compuesto por defecto; promediar indicadores observados con no observados; sustituir observación por test o IA","Sí (siempre)","Diseño condicional (PASO 6 §2): no existe hoy; requiere las 6 puertas de activación"
"INTEGRIDAD (instrumento legacy sin expediente suficiente)","INSUFFICIENT","Información insuficiente para evaluar este criterio + causa (sin expediente metodológico y psicométrico suficiente); frase obligatoria: El instrumento actual de integridad de EvaluHR no debe presentarse todavía como prueba psicométrica validada.","Score de integridad artificial; sustitutos (confiabilidad, riesgo, honestidad medida); presentar el instrumento como prueba validada; convertir la insuficiencia en señal negativa","Sí","Regla I-INT-1 (A-02.2 PASO 7); el dato crudo se conserva sin lectura del criterio"
"EXPERIENCIA_FORMACION (DECLARED - declarado)","LIMITED","Contexto orientativo de trayectoria (puesto, periodo, funciones / nivel, certificación, curso); insumo para verificación y entrevista; área si la metodología exige verificación","Asumir cumplimiento del requisito; usar como lectura del criterio; convertir años en capacidad o conocimiento vigente; declaración verificada por el candidato (D-EXP-1)","Sí (siempre)","Quality LOW máximo; los datos se muestran uno a uno con su estado, sin promediar la trayectoria"
"EXPERIENCIA_FORMACION (UNVERIFIED - verificación requerida/iniciada sin concluir)","PENDING_REVIEW","Informar pendiente de verificación; área de revisión/completación","Tratar como cumplido por defecto; trazar como incumplimiento por demora; ocultar el pendiente","Sí","Cuando hay proceso de verificación abierto; sin proceso abierto permanece LIMITED (DECLARED)"
"EXPERIENCIA_FORMACION (VERIFIED - verificación positiva)","VALID","Acreditación documental del dato (existe/legible/vigente/corresponde) con revisor, fecha y regla documentada","Inferir competencia, desempeño o conocimiento vigente del dato acreditado; usar la acreditación como score","Según matriz (revisor identificado obligatorio)","Quality MEDIUM-HIGH según método registrado (matriz A-02.2 tipos D/E)"
"EXPERIENCIA_FORMACION (CONTRADICTED - verificación negativa o contradictoria)","VALID","Registro de la discrepancia como resultado legítimo; ambas fuentes visibles (declaración original + verificación); área de revisión forzada","Rechazo automático; tratar la contradicción como mentira probada; ocultar la verificación negativa; reparar la declaración en silencio","Sí (siempre)","La verificación prevalece como registro acreditativo (no es conflicto de iguales); nueva documentación = nueva verificación append-only"
