ruleId,trigger,criterion,reason,severity,reviewRequired,permittedMessage
"RA-01","Criterio con jobRelevance crítica sin evidencia (instrumento no aplicado o sin método)","criterionId aprobado del puesto (categoría A-E)","Sin evidencia disponible en un criterio crítico del puesto","HIGH","Sí","Áreas que requieren revisión: <criterio> — Sin evidencia disponible para este criterio."
"RA-02","Criterio no crítico sin evidencia (instrumento no aplicado; NOT_ADMINISTERED o NO_METHOD)","criterionId aprobado del puesto (categoría A-E)","Sin evidencia disponible para el criterio","MEDIUM","Sí","Áreas que requieren revisión: <criterio> — Sin evidencia disponible para este criterio."
"RA-03","Conocimiento con knowledgeScore=0 por falta de correctAnswer persistida (regla K-INS-1; puestos generados)","criterionId de categoría CONOCIMIENTOS","La prueba no cuenta con clave de respuestas válida; el 0 es un artefacto de captura, no una medición","HIGH","Sí","Información insuficiente para evaluar este criterio. (La prueba requiere clave de respuestas válida; no es un resultado de 0.)"
"RA-04","Conocimiento con administración parcial o score no reconstruible (PARTIAL_RESPONSE o TECH_FAILURE)","criterionId de categoría CONOCIMIENTOS","La administración quedó incompleta o la puntuación no puede reconstruirse; no se prorratea ni se estima","MEDIUM","Sí","Información insuficiente para evaluar este criterio. (La sección quedó sin contestar o hubo una falla técnica.)"
"RA-05","Conocimiento con preguntas no validadas en el set puntuado (QUALITY_FAIL por validación)","criterionId de categoría CONOCIMIENTOS","Parte del set puntuado carece de validación; el score no puede reconstruirse de forma válida (ni parcial)","HIGH","Sí","Información insuficiente para evaluar este criterio. (La prueba requiere reactivos validados para su contenido.)"
"RA-06","Integridad sin expediente metodológico y psicométrico suficiente (regla I-INT-1)","criterionId de categoría INTEGRIDAD","No existe expediente metodológico y psicométrico suficiente para el instrumento actual","MEDIUM","Sí","Información insuficiente para evaluar este criterio. (El instrumento actual de integridad de EvaluHR no debe presentarse todavía como prueba psicométrica validada.)"
"RA-07","Competencias sin método conductual aprobado (NO_METHOD)","criterionId de categoría HABILIDADES_COMPETENCIAS","No existe un método aprobado para evaluar esta competencia","MEDIUM","Sí","Información insuficiente para evaluar este criterio. (Aún no existe un método aprobado para evaluar esta competencia.)"
"RA-08","Evidencia declarada no verificada donde la metodología exige verificación (DECLARED/UNVERIFIED)","criterionId de categoría EXPERIENCIA_FORMACION","Evidencia declarada no verificada","LOW","Sí","Áreas que requieren revisión: <criterio> — Evidencia declarada no verificada; conviene verificar o explorar en entrevista."
"RA-09","Verificación documental negativa o contradictoria del dato declarado (CONTRADICTED)","criterionId de categoría EXPERIENCIA_FORMACION","La verificación del dato declarado no lo confirma; discrepancia registrada como resultado legítimo","MEDIUM","Sí","Áreas que requieren revisión: <criterio> — La verificación del dato declarado no lo confirma; el punto requiere revisión humana."
"RA-10","Conflicto entre fuentes de evidencia válidas del mismo criterio (IPIP vs entrevista; instrumento vs instrumento; contradicciones anotadas declarado-documentación y conocimiento-experiencia)","criterionId del criterio en conflicto (con conflictRef en ambos registros)","Las fuentes disponibles apuntan en direcciones distintas y requieren revisión humana; no se promedian ni se elige ganador","HIGH","Sí","Áreas que requieren revisión: <criterio> — Las fuentes disponibles apuntan en direcciones distintas y requieren revisión humana."
"RA-11","Resultado que requiere contextualización (evidencia ambigua, resultado intermedio sin norma de lectura, inconsistencias internas registradas)","criterionId correspondiente","El resultado no permite una lectura clara; conviene explorar en entrevista","MEDIUM","Sí","Áreas que requieren revisión: <criterio> — El resultado no permite una lectura clara; conviene explorar en entrevista."
"RA-12","Revisión obligatoria pendiente sin cierre (reviewStatus=PENDING)","criterionId de la evidencia pendiente","La evidencia requiere revisión humana antes de poder usarse","MEDIUM","Sí","Áreas que requieren revisión: <criterio> — Pendiente de revisión humana."
