competencyId,name,definition,indicatorCount,evidenceTypes,possibleJobs,source,jobRelevance,criticality,status,approvedBy
COMP-TRV-001,Comunicación efectiva,"Transmite información de forma clara y comprensible al interlocutor adaptando el registro al contexto",3,INTERVIEW_STAR|OBSERVATION,MESERO|CAJERO|VENDEDOR|HOSTESS,LITERATURE,PENDING_REVIEW,IMPORTANT,DRAFT,
COMP-TRV-002,Adaptabilidad,"Ajusta su conducta y planes ante cambios en el entorno o prioridades sin perder efectividad",3,INTERVIEW_STAR,MESERO|CAJERO|VENDEDOR,LITERATURE,PENDING_REVIEW,IMPORTANT,DRAFT,
COMP-TEC-001,Manejo de punto de venta,"Opera el sistema POS registrando transacciones con precisión y resolviendo incidencias básicas",3,OBSERVATION|WORK_SAMPLE|INTERVIEW_STAR,CAJERO|VENDEDOR,JOB_ANALYSIS,PENDING_REVIEW,CRITICAL,DRAFT,
COMP-TEC-002,Higiene y seguridad alimentaria,"Aplica protocolos de higiene en manipulación de alimentos de forma consistente",3,OBSERVATION|DOCUMENT|INTERVIEW_STAR,MESERO|COCINERO|BARTENDER,JOB_ANALYSIS,PENDING_REVIEW,CRITICAL,DRAFT,
COMP-SVC-001,Servicio al cliente,"Atiende las necesidades del cliente de forma proactiva profesional y orientada a la satisfacción",5,INTERVIEW_STAR|OBSERVATION|REFERENCE,MESERO|VENDEDOR|HOSTESS|BARTENDER,JOB_ANALYSIS,PENDING_REVIEW,CRITICAL,DRAFT,
COMP-SVC-002,Manejo de quejas,"Gestiona reclamos y situaciones difíciles manteniendo la calma y buscando soluciones",4,INTERVIEW_STAR|OBSERVATION,MESERO|VENDEDOR|CAJERO,JOB_ANALYSIS,PENDING_REVIEW,IMPORTANT,DRAFT,
COMP-LDR-001,Dirección de equipo,"Coordina y guía el trabajo de otros hacia un objetivo común asignando responsabilidades y dando seguimiento",3,INTERVIEW_STAR|REFERENCE,GERENTE_PISO,LITERATURE,PENDING_REVIEW,CRITICAL,DRAFT,
COMP-COL-001,Trabajo en equipo,"Colabora con otros de forma cooperativa compartiendo información y apoyando el logro del equipo",4,INTERVIEW_STAR|OBSERVATION,MESERO|COCINERO|CAJERO|BARTENDER,LITERATURE,PENDING_REVIEW,IMPORTANT,DRAFT,
COMP-COL-002,Cooperación interárea,"Coordina acciones con áreas distintas a la propia para lograr un objetivo común",3,INTERVIEW_STAR,GERENTE_PISO|MESERO,JOB_ANALYSIS,PENDING_REVIEW,STANDARD,DRAFT,
COMP-ORG-001,Organización del trabajo,"Planifica y prioriza sus tareas de forma autónoma para cumplir plazos y estándares",4,INTERVIEW_STAR|DOCUMENT,MESERO|CAJERO|VENDEDOR|GERENTE_PISO,LITERATURE,PENDING_REVIEW,IMPORTANT,DRAFT,
COMP-ORG-002,Gestión del tiempo,"Distribuye su tiempo entre tareas según prioridad y urgencia minimizando postergación",3,INTERVIEW_STAR|DOCUMENT,MESERO|CAJERO|VENDEDOR,LITERATURE,PENDING_REVIEW,STANDARD,DRAFT,
