caseId,questionId,reviewerA,reviewerB,agreement,difference,reason,resolution
M-A,Q-MES-SVC-001,SUPPORTED,SUPPORTED,YES,,,,
M-B,Q-MES-SVC-001,INSUFFICIENT,INSUFFICIENT,YES,,,,
M-C,Q-MES-SVC-001,LIMITED,LIMITED,YES,,,,
M-D,Q-MES-COL-001,INSUFFICIENT,INSUFFICIENT,YES,,,,
M-E,Q-MES-ORG-001,PENDING_REVIEW,PENDING_REVIEW,YES,,,,
M-F,Q-MES-ORG-001,PENDING_REVIEW,PENDING_REVIEW,YES,,,,
M-G,Q-MES-SVC-002,LIMITED,SUPPORTED,NO,"A=LIMITED (1 indicador R ausente) vs B=SUPPORTED (Action clara + Result implícito)","B interpretó 'le dije que se lo cambiaría' como Action suficiente para 3 indicadores; A requirió manejo explícito de emoción","LIMITED (consenso tras revisar rúbrica: Action cubre 1 indicador; R ausente refuerza LIMITED)"
M-H,Q-MES-TRV-002,LIMITED,LIMITED,YES,,,,
M-I,Q-MES-TRV-002,NO_EVIDENCE,NO_EVIDENCE,YES,,,,
M-J,Q-MES-COL-001,STRONG,STRONG,YES,,,,
V-A,Q-VEN-SVC-001,SUPPORTED,SUPPORTED,YES,,,,
V-B,Q-VEN-SVC-002,INSUFFICIENT,INSUFFICIENT,YES,,,,
V-C,Q-VEN-SVC-002,LIMITED,LIMITED,YES,,,,
V-D,Q-VEN-COL-001,INSUFFICIENT,INSUFFICIENT,YES,,,,
V-E,Q-VEN-ORG-001,PENDING_REVIEW,PENDING_REVIEW,YES,,,,
V-F,Q-VEN-TRV-002,PENDING_REVIEW,PENDING_REVIEW,YES,,,,
V-G,Q-VEN-SVC-001,LIMITED,LIMITED,YES,,,,
V-H,Q-VEN-TRV-002,LIMITED,LIMITED,YES,,,,
V-I,Q-VEN-COL-001,NO_EVIDENCE,NO_EVIDENCE,YES,,,,
V-J,Q-VEN-ORG-001,STRONG,STRONG,YES,,,,
