caseId,jobExample,competencyId,indicatorId,response,evidenceState,rationale,commonError,calibrationNote
M-A,MESERO,COMP-SVC-001,IND-SVC-001-A|C|D,"Estaba en una cafetería un sábado a mediodía, lleno. Un comensal reclamó que su sopa estaba fría. Me disculpé, llevé la sopa a calentar, le ofrecí pan mientras esperaba, al servirla le pregunté si estaba bien. Quedó satisfecho, dejó propina.",VALID (SUPPORTED),"Action propia mapea a 3 indicadores (A escucha/pregunta, C explica/ofrece, D conducta profesional) + R verificable; 1 ejemplo → SUPPORTED","Inflar a STRONG por 'buen caso' (leniency): STRONG exige 2+ ejemplos","Caso ancla de SUPPORTED: pedir que el evaluador nombre los 3 indicadores antes de asignar"
M-B,MESERO,COMP-SVC-001,IND-SVC-001-A|C|D,"Siempre trato bien a los clientes. Los clientes están contentos conmigo. (Tras probe: Bueno, siempre cumplo con mi trabajo.)",INSUFFICIENT,"GENERAL_CLAIM sin S/T/A/R; tras redirección (UNI-005) no aportó ejemplo; INSUFFICIENT ≠ 0","Convertir en 0 o veto; o aceptar 'siempre cumplo' como conducta","Caso ancla de INSUFFICIENT: recordar que es etiqueta cualitativa, no número; redirigir máx 2 veces"
M-C,MESERO,COMP-SVC-001,IND-SVC-001-A|C|D,"Si un comensal se quejara, lo escucharía con calma y le ofrecería una solución.",LIMITED,"HYPOTHETICAL: intención futura sin conducta pasada; LIMITED como máximo (regla H-1)","Escalar a SUPPORTED porque 'sabe qué hacer'","Caso ancla de hipotético: comparar con M-A para ver la frontera intención vs conducta"
M-D,MESERO,COMP-COL-001,IND-COL-001-A|B,"Hubo demoras en los platos. Entre todos lo resolvimos y el servicio mejoró. (Tras probe: el chef reorganizó la cocina y nosotros seguimos sus instrucciones.)",INSUFFICIENT,"Action descrita es del chef; 'seguir instrucciones' no es conducta de coordinación del candidato (regla R1)","Acreditar al candidato la Action del equipo (error de atribución)","Caso ancla de patrón D: usar PROBE-UNI-001 y (si existe) PROBE-COL-001-D; sin Action propia → INSUFFICIENT documentado"
M-E,MESERO,COMP-ORG-001,IND-ORG-001-A|B,"Aumentamos la eficiencia del servicio un 30% ese año. Fue un gran logro. (Tras probe: mejoró todo, no recuerdo qué hice yo.)",PENDING_REVIEW,"EXTERNAL_RESULT: resultado positivo sin Action propia; resultado ≠ competencia (regla PASO 6)","Escalar a SUPPORTED/STRONG por la magnitud del número (30%)","Caso ancla de resultado externo: la magnitud no pondera; revisor puede pedir ejemplo específico"
M-F,MESERO,COMP-ORG-001,IND-ORG-001-A|B,"CV: 'Supervisé 15 personas en cocina'. Entrevista: no describe conducta de supervisión (cómo asignaba tareas, feedback).",PENDING_REVIEW,"CONTRADICTION CV vs entrevista → CONFLICT → PENDING_REVIEW; no promedia fuentes; no 'gana el CV' (protocolo C-1..C-7)","Resolver por autoridad del CV; o interrogatorio adversarial","Caso ancla de conflicto: revisor distinto del entrevistador; información adicional solo de la lista permitida"
M-G,MESERO,COMP-SVC-002,IND-SVC-002-B (parcial),"En mi puesto anterior un cliente se quejó de que el café estaba frío. Le dije que se lo cambiaría. (R ausente tras probe.)",LIMITED,"Action parcial: 'le dije que cambiaría' cubre IND-SVC-002-C parcialmente (promesa futura), no cubre IND-SVC-002-A (emoción); R ausente → LIMITED (regla R2 + RM-1)","Asignar SUPPORTED (error del Reviewer B en el piloto): aceptar promesa como acción completa","CASO DE REFERENCIA OBLIGATORIO: única divergencia real del piloto (A=LIMITED vs B=SUPPORTED); resolver con anclas por indicador, no por votación"
M-H,MESERO,COMP-TRV-002,IND-TRV-002-A|B,"Cuando la cafetería cambió de proveedor de pan, aprendí a manejar las quejas de clientes celíacos. Yo, como soy embarazada, tuve que tener más cuidado...",INVALID (atributo) + LIMITED (conducta),"Revelación involuntaria (embarazo, atributo protegido): no registrar, no usar, no profundizar; la conducta de adaptación SÍ se registra → LIMITED","Registrar/usar el atributo; o hacer preguntas de seguimiento sobre el embarazo","Caso ancla de revelación involuntaria: separar en el registro el fragmento INVALID de la conducta válida"
M-I,MESERO,COMP-TRV-002,IND-TRV-002-A|B,"No he trabajado nunca. No tengo ejemplos de adaptación en el trabajo.",NO_EVIDENCE,"Entry-level sin experiencia laboral: ausencia legítima (no es faking); complementar con situacional en fase futura","Vetar o presionar para 'sacar' un ejemplo; o confundir con INSUFFICIENT","Caso ancla de NO_EVIDENCE legítimo: no penalizar la falta de experiencia"
M-J,MESERO,COMP-COL-001,IND-COL-001-A|C|D,"Ejemplo 1: con ausencia de un mesero, coordiné con cocina para priorizar platos y con la hostess para repartir mesas; no hubo demoras. Ejemplo 2: cuando un compañero se lesionó, cubrí sus mesas mientras el encargado gestionaba el relevo; el servicio no se detuvo.",VALID (STRONG),"2+ ejemplos distintos con Action propia mapeable (A comparte info, C expone dificultades, D asiste) + Results verificables → STRONG (regla R4)","Comprimir a LIMITED 'por si acaso' (central tendency)","Caso ancla de STRONG: verificar que son 2 ejemplos distintos, no el mismo re-contado"
