itemId,factor,reverse,order,source,version
q01,EXTRAVERSION,no,1,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q02r,AGREEABLENESS,yes,2,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q03,CONSCIENTIOUSNESS,no,3,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q04r,EMOTIONAL_STABILITY,yes,4,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q05,INTELLECT,no,5,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q06r,EXTRAVERSION,yes,6,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q07,AGREEABLENESS,no,7,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q08r,CONSCIENTIOUSNESS,yes,8,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q09,EMOTIONAL_STABILITY,no,9,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q10r,INTELLECT,yes,10,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q11,EXTRAVERSION,no,11,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q12r,AGREEABLENESS,yes,12,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q13,CONSCIENTIOUSNESS,no,13,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q14r,EMOTIONAL_STABILITY,yes,14,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q15,INTELLECT,no,15,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q16r,EXTRAVERSION,yes,16,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q17,AGREEABLENESS,no,17,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q18r,CONSCIENTIOUSNESS,yes,18,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q19,EMOTIONAL_STABILITY,no,19,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q20r,INTELLECT,yes,20,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q21,EXTRAVERSION,no,21,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q22r,AGREEABLENESS,yes,22,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q23,CONSCIENTIOUSNESS,no,23,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q24r,EMOTIONAL_STABILITY,yes,24,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q25,INTELLECT,no,25,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q26r,EXTRAVERSION,yes,26,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q27,AGREEABLENESS,no,27,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q28r,CONSCIENTIOUSNESS,yes,28,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q29r,EMOTIONAL_STABILITY,yes,29,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q30r,INTELLECT,yes,30,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q31,EXTRAVERSION,no,31,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q32r,AGREEABLENESS,yes,32,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q33,CONSCIENTIOUSNESS,no,33,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q34r,EMOTIONAL_STABILITY,yes,34,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q35,INTELLECT,no,35,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q36r,EXTRAVERSION,yes,36,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q37,AGREEABLENESS,no,37,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q38r,CONSCIENTIOUSNESS,yes,38,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q39r,EMOTIONAL_STABILITY,yes,39,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q40,INTELLECT,no,40,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q41,EXTRAVERSION,no,41,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q42,AGREEABLENESS,no,42,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q43,CONSCIENTIOUSNESS,no,43,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q44r,EMOTIONAL_STABILITY,yes,44,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q45,INTELLECT,no,45,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q46r,EXTRAVERSION,yes,46,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q47,AGREEABLENESS,no,47,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
q48,CONSCIENTIOUSNESS,no,48,ipip.ori.org/SpanishBig-FiveFactorMarkers.htm,1.0|ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA|IPIP50-BFM-1.0
