jobId,blueprintId,domain,knowledgeRequirement,source,itemId,itemStatus,correctAnswerStatus,difficulty,reviewStatus,version,evidenceStatus
"JOB-EJEMPLO-MESERO","KBP-EJEMPLO-MESERO-001","HIGIENE","KREQ-EJEMPLO-M01 (norma oficial de higiene aplicable — R-KREL 1..3 documentadas; 4..5 pendientes)","S6 normativa citada (EJEMPLO)","ITEM-KN-EJ001","EJEMPLO-DRAFT","PROPOSED-UNVALIDATED","UNKNOWN","NOT_REVIEWED","0.1-draft","PENDING_REVIEW"
"JOB-EJEMPLO-MESERO","KBP-EJEMPLO-MESERO-001","HIGIENE","KREQ-EJEMPLO-M01 (mismo requisito; segundo reactivo)","S6 normativa citada (EJEMPLO)","ITEM-KN-EJ002","EJEMPLO-DRAFT","MISSING","UNKNOWN","NOT_REVIEWED","0.1-draft","INSUFFICIENT"
"JOB-EJEMPLO-MESERO","KBP-EJEMPLO-MESERO-001","HIGIENE","KREQ-EJEMPLO-M01 (tercer reactivo — resultó opinión KS-2)","S6 normativa citada (EJEMPLO)","ITEM-KN-EJ003","EJEMPLO-REJECTED","NOT_APPLICABLE","UNKNOWN","REJECTED_KI-VAL (opinión, PASO 8)","0.1-draft","INVALID"
"JOB-EJEMPLO-MESERO","KBP-EJEMPLO-MESERO-001","HIGIENE","KREQ-EJEMPLO-M02 (conservación de alimentos — scope aplicación)","KF7 manual interno EJEMPLO v0","ITEM-KN-EJ004","EJEMPLO-DRAFT","PROPOSED-UNVALIDATED","MEDIUM (basis=JUICIO-NO-EVIDENCIA)","NOT_REVIEWED","0.1-draft","PENDING_REVIEW"
"JOB-EJEMPLO-MESERO","KBP-EJEMPLO-MESERO-001","SERVICIO EN SALA","KREQ-EJEMPLO-M03 (protocolo de servicio de la empresa — hereda CRIT-CON-EJ008)","KF7 manual interno EJEMPLO (protocolo)","ITEM-KN-EJ005","EJEMPLO-REVIEW","PENDING_KEY_VALIDATION","UNKNOWN","IN_REVIEW_KI-VAL","0.1-draft","PENDING_REVIEW"
"JOB-EJEMPLO-MESERO","KBP-EJEMPLO-MESERO-001","SERVICIO EN SALA","KREQ-EJEMPLO-M03 (segundo reactivo — ambigüedad detectada en revisión)","KF7 manual interno EJEMPLO (protocolo)","ITEM-KN-EJ006","EJEMPLO-SUSPENDED","PRESENT-BUT-DEFECTIVE","UNKNOWN","REVIEW_DEFECT_FOUND (KI-VAL-5)","0.2-draft","INSUFFICIENT"
"JOB-EJEMPLO-VENDEDOR","KBP-EJEMPLO-VENDEDOR-001","CATALOGO","KREQ-EJEMPLO-V01 (características vigentes de productos — refresh-risk)","KF7 catálogo interno EJEMPLO v0 (fecha de corte)","ITEM-KN-EJ101","EJEMPLO-REVIEW","PROPOSED-UNVALIDATED","UNKNOWN","IN_REVIEW_KI-VAL","0.1-draft","PENDING_REVIEW"
"JOB-EJEMPLO-VENDEDOR","KBP-EJEMPLO-VENDEDOR-001","CATALOGO","KREQ-EJEMPLO-V02 (precios y promociones vigentes — vigencia explícita)","KF7 catálogo interno EJEMPLO v0 (fecha de corte)","ITEM-KN-EJ102","EJEMPLO-APPROVED","VALIDATED-EXPERT-REVIEW (EJEMPLO)","MEDIUM (basis=JUICIO-NO-EVIDENCIA)","APPROVED_KI-VAL (revisor≠autor)","1.0","PENDING_REVIEW"
"JOB-EJEMPLO-VENDEDOR","NINGUNO-LEGACY (EJEMPLO)","NINGUNO (sin dominio pre-establecido)","SIN-REQUISITO (generado sin análisis de conocimiento)","BIBLIOTECA-GENERICA (fuente no admisible — K-KF-2)","ITEM-KN-EJ201-LEGADO","EJEMPLO-RETIRED","MISSING","UNKNOWN","NOT_REVIEWED (auto-reporte KS-3)","unknown","INSUFFICIENT"
"JOB-EJEMPLO-MESERO","KBP-EJEMPLO-MESERO-001","HIGIENE","KREQ-EJEMPLO-M01 (cuarto reactivo — duplicado de EJ001 detectado)","S6 normativa citada (EJEMPLO)","ITEM-KN-EJ007","EJEMPLO-REJECTED","NOT_APPLICABLE","UNKNOWN","REJECTED_KI-VAL (duplicado — KSEC-1)","0.1-draft","INVALID"
