competencyId,indicatorId,observable,specific,jobRelated,nonRedundant,nonDiscriminatory,evidencePossible,source,status
COMP-SVC-001,IND-SVC-001-A,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-001,IND-SVC-001-B,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-001,IND-SVC-001-C,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-001,IND-SVC-001-D,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-001,IND-SVC-001-E,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-002,IND-SVC-002-A,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-002,IND-SVC-002-B,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-002,IND-SVC-002-C,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-SVC-002,IND-SVC-002-D,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-COL-001,IND-COL-001-A,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-COL-001,IND-COL-001-B,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-COL-001,IND-COL-001-C,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-COL-001,IND-COL-001-D,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-TRV-002,IND-TRV-002-A,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-TRV-002,IND-TRV-002-B,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-TRV-002,IND-TRV-002-C,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-ORG-001,IND-ORG-001-A,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-ORG-001,IND-ORG-001-B,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-ORG-001,IND-ORG-001-C,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-ORG-001,IND-ORG-001-D,1,1,1,1,1,1,LITERATURE,DRAFT
COMP-TEC-001,IND-TEC-001-A,1,1,1,1,1,1,JOB_ANALYSIS,DRAFT
COMP-TEC-001,IND-TEC-001-B,1,1,1,1,1,1,JOB_ANALYSIS,DRAFT
COMP-TEC-001,IND-TEC-001-C,1,1,1,1,1,1,JOB_ANALYSIS,DRAFT
