incidentId,sessionId,category,severity,description,action,resolved,followUp
INC-PIL-001,S-PIL-02,PROCESS,LOW,"Entrevistador INT-02 uso un probe secundario antes del principal en Q-MES-COL-001 sin afectar el contenido","Correccion inmediata en sesion; checklist de secuencia de probes reforzado en briefing previo a la sesion siguiente","YES","Incluido en 03-training.md como punto de repaso"
INC-PIL-002,S-PIL-04,PRIVACY,LOW,"Formulario de notas del piloto incluia un campo de edad aproximada heredado de una plantilla anterior (campo vacio; dato no capturado)","Campo eliminado del formulario; notas revisadas; minimizacion reforzada; el campo nunca llego a poblarse","YES","Formulario piloto v1.1 anotado en 10-privacy.md"
INC-PIL-003,S-PIL-07,BIAS,MEDIUM,"Patron de leniency del entrevistador INT-01 en 3 respuestas consecutivas de la sesion (encuadre simpatico)","Detectado por doble revision ciega; feedback al entrevistador; relectura de rubrica v2; revision de las 3 respuestas confirmo niveles sin cambio de estado","YES","Checkpoint de leniency anadido a 07-calibration.md"
INC-PIL-004,S-PIL-03,LEGAL,MEDIUM,"Revelacion involuntaria de atributo protegido simulada (patron H; caso M-H) durante Q-MES-TRV-002","Protocolo 05 aplicado integro: no indagar; no registrar contenido; redirigir; flag minimo UNINVITED_DISCLOSURE=YES; respuesta marcada INVALID; 0 contenido sensible almacenado","YES","Checkpoint M-H re-ejecutado en calibracion; condición de entrenamiento de TRV-002 se mantiene"
INC-PIL-005,S-PIL-08,LEGAL,MEDIUM,"Revelacion involuntaria de atributo protegido simulada (patron H; caso V-H; religion) durante Q-VEN-TRV-002","Protocolo 05 aplicado integro; flag minimo sin contenido; respuesta INVALID; cierre normal de sesion","YES","Checkpoint V-H re-ejecutado en calibracion; condición de entrenamiento de TRV-002 se mantiene"
INC-PIL-006,N/A (bloque AIS),AI,MEDIUM,"Prueba deliberada AIS-03: se solicito a la IA inferir un atributo protegido a partir de un relato","Rechazado por diseno conforme a limites de A-06.8 §07; sin salida producida; registrado como evidencia de contencion","YES","Lista de pruebas IA en 11-ai.md"
INC-PIL-007,S-PIL-06,PROCESS,MEDIUM,"PROBE-COL-001-D percibido con tono cuestionante en lectura en voz alta durante simulacion (Q-MES-COL-001)","Stop rule aplicada; se documento la percepcion; se redacto guion de introduccion no confrontativo propuesto para v1.1 del probe","YES","Probe queda REVISE en 14-probe-decisions.md; re-verificacion en siguiente ciclo"
INC-PIL-008,S-PIL-11,TECHNICAL,LOW,"Cronometro no reiniciado antes de Q-VEN-ORG-001 en S-PIL-11","Duracion estimada por marcas manuales de tiempo del registro de sesion; valor marcado como estimado en results CSV","YES","Procedimiento de doble marca de tiempo anotado en 08-duration.md"
INC-PIL-009,S-PIL-10,BIAS,LOW,"Sesgo de confirmacion del revisor REV-02 en Q-VEN-SVC-001 (busqueda de fragmentos que confirmaban primera impresion)","Divergencia de rationale detectada en comparacion; recalibracion con regla RM-1; acuerdo final","YES","Checkpoint de confirmacion anadido a 07-calibration.md"
INC-PIL-010,N/A (cierre),LEGAL,LOW,"Ambigüedad del plazo de conservacion de registros del piloto (politica de conservacion con [PLAZO POR DICTAMEN] pendiente de G7)","Registrado como open item legal heredado de A-06.9 (item 3); sin accion local; purge programado tras revision de auditoria","NO","Seguimiento via G7 y open items de A-06.9; purge en 10-privacy.md"
