section,currentState,proposedChange,legalReason,reviewRequired,status
Identidad del responsable,"Aviso vigente 2026-01-v2 (src/lib/privacy-notice.ts) orientado a evaluaciones psicométricas; genérico por empresa","Aviso ESPECÍFICO de entrevista: responsable = empresa del proceso (ALIMENTOS PAPO para el demo); nombre legal completo pendiente","Información correcta al titular","YES","BORRADOR — documento NUEVO; NO se modifica el aviso vigente"
Encargado operador,"Menciona EvaluHR como encargado de plataforma","Mantener; precisar rol 'proveedor/encargado tecnológico y operativo' y su alcance en entrevista","Claridad del encargamiento","YES","BORRADOR"
Finalidad,"Finalidades de evaluaciones psicométricas/de conocimientos; 'entrevista' aparece 1 vez","Añadir finalidad específica: evaluación de competencias mediante entrevista estructurada BDI/STAR para el puesto","Finalidad específica e informada","YES","BORRADOR"
Datos personales recopilados,"Categorías de evaluaciones vigentes (respuestas psicométricas, resultados, etc.)","Listar categorías de entrevista: datos del proceso, datos profesionales/experiencia/formación, respuestas, evidencia, resultado, logs","Minimización y transparencia","YES","BORRADOR"
Datos sensibles recopilados,"El aviso vigente TRATA datos sensibles psicométricos/psicológicos/de integridad (sección 6)","Separar explícitamente: la entrevista NO solicita datos sensibles; protocolo de revelación involuntaria; prohibición de registrar contenido","Régimen reforzado de datos sensibles","YES","BORRADOR"
Participación humana / revisión,"No explícita en aviso vigente","Indicar entrevistador y revisor humanos; resultado por revisión humana documentada","Transparencia","YES","BORRADOR"
Uso de IA,"3 menciones genéricas; sin anexo estructurado","Sección de IA: funciones asistivas (lista cerrada); IA no decide, no infiere, no inventa; referencia al anexo","Transparencia sobre IA","YES","BORRADOR"
Decisiones automatizadas,"Sección 25 del aviso vigente","Declarar: ninguna decisión automatizada; contratación = humana por la empresa","Protección frente a decisiones automatizadas","YES","BORRADOR"
Transferencias,"Sección 11 del aviso vigente","Informar proveedores tecnológicos SUJETOS A CONFIGURACIÓN; garantías si tratamiento fuera de México","Transferencias y subencargados","YES","BORRADOR"
Conservación,"Períodos definidos en secciones 16.1/16.2 del aviso vigente (referencia a 2 años sin base legal)","Expresar política de conservación por categoría con [PLAZO POR DICTAMEN]; jamás presentar 2 años como obligación legal","Minimización; no inventar obligaciones","YES","BORRADOR"
Derechos ARCO,"Secciones 13-14 del aviso vigente (12 menciones ARCO)","Mantener; alinear con anexo ARCO (canal EvaluHR + atención por empresa) y plazos vigentes [LEGAL_REVIEW]","Derechos del titular","YES","BORRADOR"
Quejas ante autoridad,"Sección 21: 'quejas ante el INAI' (7 menciones INAI en total) — DESACTUALIZADO","Actualizar destinatario institucional: autoridad garante vigente tras reforma 2025 (SABG)","Reforma 2025: INAI extinto","YES","BORRADOR"
Limitación de responsabilidad de EvaluHR,"Sección 4 del aviso vigente","Alinear con anexo de limitaciones: no garantiza contratación, no predice éxito, no diagnóstico, no APTO/NO APTO automático","Evitar expectativas indebidas","YES","BORRADOR"
Cambios al aviso,"Sección 22 del aviso vigente","Definir mecanismo de notificación de cambios para el aviso de entrevista","Transparencia de cambios","YES","BORRADOR"
Manifestación del consentimiento,"Sección 23 del aviso vigente (opciones A/B/C de evaluaciones)","Nuevo documento independiente de consentimiento para entrevista (05-consent-draft.md)","Consentimiento específico del proceso","YES","BORRADOR"
Separación de documentos,"Un solo aviso general por empresa","Aviso de entrevista como documento separado y específico; aviso vigente NO se modifica","Especificidad y trazabilidad","YES","BORRADOR"
