section,currentState,proposedChange,reason,legalPriority,reviewRequired,status
Contrato maestro (documento),"No existe documento de contrato maestro en el repositorio (alcance conocido por matrices A-06.4/A-06.8)","Borrador íntegro A-06.9 preparado como documento nuevo (02-contract-draft.md) sin destruir documento alguno","Base contractual necesaria para prestar el servicio","OBLIGATORIO","YES","BORRADOR — PENDIENTE DE ABOGADO"
1. Objeto,"Sin contrato","Servicio de soporte a selección mediante entrevista estructurada BDI/STAR","Delimitar el objeto del servicio","OBLIGATORIO","YES","BORRADOR"
2. Servicio,"Sin contrato","Plataforma + guía aprobada + evidencia + revisión + capacitación, por anexos firmados","Definir alcance prestado","OBLIGATORIO","YES","BORRADOR"
3. Finalidad,"Sin contrato","Exclusivamente evaluación de competencias del puesto; usos secundarios con aviso/base propia","Principio de finalidad","OBLIGATORIO","YES","BORRADOR"
4. Roles de las partes,"Sin contrato","Cliente = responsable; EvaluHR = proveedor/encargado tecnológico y operativo","Arquitectura responsable/encargado (PASO 4)","OBLIGATORIO","YES","BORRADOR"
5-7. Puesto/criterios/competencias,"Sin contrato","Cliente define puesto y aprueba criterios/competencias; EvaluHR solo metodología","Decisión y definición = del responsable","OBLIGATORIO","NO","BORRADOR"
8-9. Entrevista y evidencia,"Sin contrato","Guía y seguimientos de banco aprobado; evidencia STAR trazable append-only; V1 sin grabación","Uniformidad y trazabilidad","OBLIGATORIO","YES (grabación futura)","BORRADOR"
10. Revisión humana,"Sin contrato","Revisor humano ≠ entrevistador; excepciones EX-1..EX-4 registradas; rúbrica aprobada","Garantía de decisión humana","OBLIGATORIO","YES","BORRADOR"
11. IA (remisión al anexo 1),"Sin contrato","IA asistiva con listas cerradas; toda salida = AI_DRAFT sin efecto","Transparencia y control","OBLIGATORIO","YES","BORRADOR"
12. Prohibición de decisión automatizada,"Sin contrato","Ninguna decisión automatizada ni con base exclusiva en IA; contratación = empresa, humana","Protección del titular","OBLIGATORIO","YES","BORRADOR"
13. Datos tratados,"Sin contrato","Lista cerrada de categorías mínimas del proceso","Minimización","OBLIGATORIO","YES","BORRADOR"
14. Datos sensibles,"Sin contrato","No solicitar; protocolo de revelación involuntaria (anexo 3)","Régimen reforzado de sensibles","OBLIGATORIO","YES","BORRADOR"
15. Instrucciones del cliente,"Sin contrato","Tratamiento solo por instrucciones documentadas","Deber del encargado","OBLIGATORIO","YES","BORRADOR"
16. Seguridad,"Sin contrato","Medidas técnicas/organizativas descritas; SIN certificaciones ISO/SOC/PCI","Describir sin inventar acreditaciones","OBLIGATORIO","YES","BORRADOR"
17. Incidentes/brechas,"Sin contrato","Notificación sin demora injustificada; destinatario institucional vigente (SABG)","Reforma 2025: INAI extinto","OBLIGATORIO","YES","BORRADOR"
18. Subencargados,"Sin contrato","Lista vigente documentada y notificada; obligaciones equivalentes","Cadena de encargamiento","OBLIGATORIO","YES","BORRADOR"
19. Transferencias,"Sin contrato","Informar al cliente y adoptar garantías si hay tratamiento fuera de México","Transferencias internacionales","REVISIÓN LEGAL","YES","BORRADOR"
20-21. Conservación y eliminación,"Sin contrato","Cuadro de conservación por categoría con [PLAZO POR DICTAMEN]; purge acreditado","Minimización; 2 años = recomendación, no ley","REVISIÓN LEGAL","YES","BORRADOR"
22-23. ARCO y atención de titulares,"Sin contrato","Canal EvaluHR + atención por cliente responsable; plazos [LEGAL_REVIEW]","Derechos del titular","OBLIGATORIO","YES","BORRADOR"
24-25. Auditoría y trazabilidad,"Sin contrato","Derecho de auditoría; cadena pregunta→evidencia→nivel→resultado","Transparencia verificable","RECOMENDADO","NO","BORRADOR"
26. Confidencialidad,"Sin contrato","Personal, subencargados y proveedores de IA incluidos","Confidencialidad reforzada (nueva ley)","OBLIGATORIO","YES","BORRADOR"
27. Propiedad intelectual,"Sin contrato","EvaluHR: plataforma/método; cliente: puesto/criterios/decisiones","Claridad de titularidades","RECOMENDADO","YES","BORRADOR"
28. Responsabilidad,"Sin contrato","Régimen conforme a ley + pacto de partes","Asignación de riesgos","REVISIÓN LEGAL","YES","BORRADOR"
29. Limitaciones del sistema,"Sin contrato","NO garantiza contratación / NO predice éxito / NO diagnóstico / NO APTO-NO APTO automático","Evitar expectativas indebidas","OBLIGATORIO","YES","BORRADOR"
30. Terminación,"Sin contrato","Devolución/eliminación verificable; supervivencia de confidencialidad","Cierre del encargamiento","OBLIGATORIO","YES","BORRADOR"
Anexos 1-10,"Sin contrato","Anexos del paquete A-06.9 integrados al contrato","Documentos operativos del servicio","OBLIGATORIO","YES","BORRADOR"
Identidad de las partes,"Datos proporcionados para demo","RFC/domicilio/representante según información proporcionada; verificación pendiente","Validez de la contratación","OBLIGATORIO","YES (facultades y RFC)","BORRADOR"
