competencyId,indicatorId,noEvidence,insufficient,limited,supported,strong,examples,status
COMP-SVC-001,IND-SVC-001-A,"No responde o no hay ningún ejemplo de interacción con clientes","'Soy bueno entendiendo a la gente' — detectar necesidad afirmado sin situación ni acción","Fragmento propio real de escucha/pregunta: 'Le pregunté si era alergia o preferencia'","Escucha activa + pregunta de confirmación dentro de un ejemplo con 3+ indicadores y R verificable","2+ ejemplos distintos donde detecta la necesidad (ej. entrevista de usos + confirmación de pedido)","'Pregunté usos y volumen, le repetí el pedido para confirmar' (V-A)","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-001,IND-SVC-001-B,"No hay ningún ejemplo de interacción diferenciada","'Me adapto a todo' sin ejemplo","Un ajuste de trato concreto en un ejemplo: 'Con el señor mayor le hablé despacio y sin tecnicismos'","2+ ajustes de trato distintos en el mismo o en 2 ejemplos con R","Ejemplos consistentes de adaptación a distintos tipos de cliente con Results","'Con el turista usé señas y le mostré el menú traducido'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-001,IND-SVC-001-C,"No hay ejemplo de explicación o comunicación","'Explico bien las cosas' sin situación","Una explicación concreta en pasado: 'Le expliqué que la sopa tardaría 5 minutos'","Explicación + alternativa ofrecida dentro de ejemplo con 3+ indicadores y R","2+ ejemplos de explicación con alternativa clara y Results","'Le expliqué dos opciones con ventajas y límites' (V-A)","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-001,IND-SVC-001-D,"No hay ejemplo de conducta bajo demanda","'Nunca me altero' — auto-descripción sin situación","Un acto profesional concreto: 'Me disculpé aunque no era mi culpa'","Conducta profesional sostenida en un ejemplo completo con R verificable","2+ ejemplos con conducta profesional bajo demanda y Results","'Mantuve el tono calmado con el comensal levantando la voz'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-001,IND-SVC-001-E,"No hay ejemplo de seguimiento","'Dejo contentos a todos' sin conducta","Un acto de seguimiento: 'Al servirla le pregunté si estaba bien'","Seguimiento completo hasta cerrar la necesidad con R (ej. cliente volvió)","2+ ejemplos de seguimiento con Results verificables","'Pasé a los 10 minutos a confirmar que todo estuviera bien'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-002,IND-SVC-002-A,"No hay ejemplo de manejo de queja","'El cliente estaba enojado' — hecho del cliente, no conducta del candidato","Un acto propio de manejo emocional: 'Lo dejé desahogarse sin interrumpir'","Manejo emocional + reconocimiento dentro de ejemplo con 3+ indicadores y R","2+ quejas manejadas con control emocional consistente y Results","'Bajé el tono de voz y me acerqué a su mesa para que no gritara frente a otros'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-002,IND-SVC-002-B,"No hay ejemplo de identificación del problema","'Reconocí el problema' sin describir cómo","Una acción de reconocimiento/indagación: 'Le dije que entendía que esperar tanto lo molestaba'","Reconocimiento + identificación de la causa real en ejemplo con R","2+ ejemplos de diagnóstico del problema real","'Le pregunté si el problema era la espera o el plato en sí'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-002,IND-SVC-002-C,"No hay ejemplo de solución propuesta","'Lo solucioné' sin conducta","Promesa o propuesta simple en pasado dentro de la situación: 'Le dije que se lo cambiaría' (parcial)","Propuesta completa con alternativas dentro de su margen + R: 'Le llevé dos opciones y eligió la segunda'","2+ casos con alternativas propuestas y Results","'Ofrecí cambiar el plato o recalentarlo con una bebida de cortesía'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-SVC-002,IND-SVC-002-D,"No hay ejemplo de escalado","'El encargado resolvió' — acción ajena (patrón D)","Un escalado propio concreto: 'Avisé al encargado porque pedían descuento'","Escalado + comunicación de contexto (que el cliente no repita) con R","2+ escalados apropiados con Results","'Le comenté al encargado lo acordado para que el cliente no repitiera'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-COL-001,IND-COL-001-A,"No hay ejemplo de coordinación","'Nos organizamos' — colectivo sin Action propia","Información compartida concreta por el candidato: 'Avisé a cocina que venía una mesa grande'","Coordinación de 2+ frentes dentro de ejemplo completo con R","2+ ejemplos de coordinación con Results verificables","'Coordiné con cocina para priorizar platos y con la hostess para repartir mesas' (M-J)","DRAFT/PILOTO (NO PRODUCTIVO)"
