instrument,construct,workplace_use,mexico_evidence,spanish,psychometric_evidence,rights,commercial_use,transparency,ai_compatibility,risk,cost,recommendation
"IPIP-HEXACO (Honesty-Humility)","Honestidad-Humildad (rasgo HEXACO)","Sí — base de pruebas personality-based modernas","NOT ESTABLISHED (sin validación mexicana pública)","Traducible libremente (dominio público); requiere validación propia","Alta — literatura HEXACO + meta de validez discriminante de H (sciencedirect)","PUBLIC DOMAIN (ipip.ori.org, verificado)","Permitido por declaración de dominio público (con citación)","Alta — ítems y citación públicos","Alta — puede generar borradores de adaptación; aprobación humana","Medio (faking menor que overt; sobreinterpretación)","Sin licencia; costo de validación propia","OPCIÓN A RECOMENDADA — base del indicador piloto"
"HEXACO-60 (oficial)","Honestidad-Humildad (rasgo)","Sí — uso académico y organizacional","NOT ESTABLISHED","Sí — traducciones listadas por autores","Alta (literatura HEXACO)","Académico sin costo; COMERCIAL UNKNOWN — requiere permiso de autores","UNKNOWN","Alta académica / baja comercial","Media (igual que IPIP)","Medio","NO PÚBLICO — REQUIERE COTIZACIÓN/PERMISO","Alternativa si se obtiene permiso de los autores"
"CWB-C (Spector & Fox)","Criterio de conductas contraproducentes","Sí — criterio de validación, no filtro de candidatos","NOT ESTABLISHED (versiones ES: Argentina 2014; 45-ítems 2014; ninguna mexicana)","Sí — traducciones oficiales listadas por autor","Alta — es el criterio de referencia (Spector 2006/2010)","OPEN LICENSE condicionada (gratis con compartir resultados); copyright 2002 Spector & Fox","No explícito — contactar autor","Alta (sitio del autor)","Baja en selección; apoyo análisis en validación","Alto si se usa como filtro en candidatos (invasivo)","Sin costo en investigación; no-comercial","USO: criterio de validación interna, nunca filtro"
"PSI (London House)","Overt: honestidad/drogas/violencia","Histórico sí","NOT ESTABLISHED","No verificado","Alta histórica (meta 1993; Buros; OTA 1990)","UNKNOWN (titularidad confusa)","UNKNOWN","Baja","N/A","Alto (contenido delicado + derechos)","NO PÚBLICO","NO RECOMENDADO"
"Reid Report","Overt: integridad/antecedentes/drogas","Histórico sí","NOT ESTABLISHED","No verificado","Alta histórica","DISCONTINUADO (distribuidor COD, verificado)","N/A","Baja","N/A","Alto","N/A","NO RECOMENDADO"
"Hogan HPI","Personalidad laboral (proxy integridad)","Sí — estándar de mercado","NOT ESTABLISHED","Sí (40+ idiomas)","Alta (450+ estudios, whitepaper GMAC)","COMMERCIAL LICENSE","Sí vía consultores","Media (manual no público)","Media (ruido: no es test de integridad puro)","Medio","NO PÚBLICO — REQUIERE COTIZACIÓN","OPCIÓN B futura (compra) si el piloto justifica"
"Wonderlic WonScore/CPP","Cog+personalidad+motivación","Sí","NOT ESTABLISHED","No verificado","Media (manual no público)","COMMERCIAL LICENSE","Sí","Baja (escala de integridad no documentada)","Media","Medio","NO PÚBLICO","NO recomendado para integridad"
"Mercer Mettl Integrity","Híbrido (tendencia a contraproducción)","Sí","NOT ESTABLISHED","Sí (página ES oficial)","Limitada pública","COMMERCIAL LICENSE","Sí (API)","Media/Baja","Media","Medio","NO PÚBLICO — REQUIERE COTIZACIÓN","OPCIÓN C futura (compra)"
"TestGorilla Business Ethics & Compliance","Juicio ético situacional","Sí (complemento)","NOT ESTABLISHED","Parcial (sitio multilingüe)","Limitada pública","COMMERCIAL LICENSE (suscripción)","Sí","Media","Alta (SJT generable en borradores)","Bajo-Medio","Suscripción pública; monto no verificado","Complemento posible; no cubre rasgo"
"Testlify Integrity","Híbrido","Sí","NOT ESTABLISHED","Parcial","Limitada pública","COMMERCIAL LICENSE","Sí","Baja","Media","Medio","NO PÚBLICO","No priorizada"
"TRUST evaluar.com (y similares LatAm)","Overt/híbrido ES","Sí (mercado ES)","Comercializa en MX sin manual público","Sí nativo","NO VERIFICABLE (sin manuales)","COMMERCIAL LICENSE","Sí","Baja","Media","Medio-Alto (sin evidencia)","NO PÚBLICO","No acreditable hoy; reconsiderar si publican manuales"
"Desarrollo propio EvaluHR (SJT+H)","Integridad laboral (definido en 01)","A definir con validación","Posible (sería la primera con piloto MX)","Sí","Pendiente — validar","Propio (ítems propios) o PUBLIC DOMAIN (base IPIP)","N/A","Alta si se documenta","Alta en borradores; IA no autoridad","Depende de ejecución","Costo de validación interna","Solo junto con plan de validación (PASO 15)"
"NO IMPLEMENTAR","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Cero riesgo técnico; se pierde evidencia de valor","Cero","OPCIÓN D evaluada; vista en 11-recommendation.md"
