pilotElement,requirement,method,participants,evidence,risk,gate,status
voluntariedad,"Participación voluntaria con retiro libre y sin efecto alguno","Consentimiento escrito + declaración de retiro sin consecuencias","Todos los participantes del piloto","Consentimiento firmado/registrado; log de retiros","ALTO si falta; BAJO con control","INTERVIEW-G9","PREPARADO (no ejecutado)"
consentimiento_piloto,"Consentimiento reforzado de investigación/piloto (naturaleza, datos, IA, destino, sin consecuencias)","Variante PILOTO de información previa (14 §3) + consentimiento específico","Participantes con datos reales (Fase B); internos (Fase A) según aplique","Registro de consentimiento con versión de texto","ALTO si falta; BAJO con control","LEGAL-G10","PREPARADO (no ejecutado)"
fase_a_internos_sinteticos,"Preferir internos voluntarios/sintéticos antes que candidatos reales","Fase A obligatoria: simulación con guiones sintéticos (A-06.6) o empleados voluntarios","Empleados voluntarios de perfiles afines; simuladores","Orden de fases documentado; registros marcados PILOTO","MEDIO","INTERVIEW-G9","PREPARADO"
fase_b_candidatos_reales,"Candidatos reales solo si Fase A no produce los hallazgos necesarios; siempre voluntarios","Consentimiento reforzado + separación total de procesos productivos","Candidatos voluntarios informados","Autorización previa documentada; evidencia de separación","MEDIO-ALTO","INTERVIEW-G9 + LEGAL-G10","CONDICIONAL (requiere decisión post-Fase A)"
sin_consecuencias_laborales,"Ninguna consecuencia laboral para participantes internos","Declaración escrita de la empresa cliente; resultados marcados NO PRODUCTIVO","Participantes internos","Declaración firmada; marca PILOTO en registros","ALTO si falta","INTERVIEW-G9","PREPARADO"
sin_decision_contratacion,"Resultados del piloto jamás usados para contratar","Prohibición documentada; acceso restringido a equipo de método","N/A (prohibición transversal)","Prohibición firmada; logs de acceso","ALTO si se viola","INTERVIEW-G9","PREPARADO"
numero_minimo_sesiones,">= 12 sesiones completas (2 puestos × 6) como objetivo operativo — NO criterio de validez psicométrica","Conteo de sesiones con guía completa y revisión doble","12+ participantes","Registro de sesiones con tiempos","BAJO (limitación documentada en 16)","INTERVIEW-G9","PREPARADO"
perfil_participantes,"Diversidad básica de experiencia; NO menores de edad; perfiles afines a mesería/ventas","Criterios de reclutamiento documentados","Participantes Fase A/B","Lista de participantes anonimizada","BAJO","INTERVIEW-G9","PREPARADO"
entrevistadores,">= 2 entrevistadores con >= 6 sesiones cada uno","Asignación rotada; cronometraje","Entrevistadores entrenados","Log de sesiones por entrevistador","MEDIO si insuficiente","INTERVIEW-G9","PREPARADO"
capacitacion_prerequisito,"M1..M7 impartidos Y evaluados; protocolo 05 ensayado (M-H/V-H); tono de PROBE-COL-001-D","Entrenamiento según A-06.7 + evaluación","Entrevistadores y revisores","Actas de entrenamiento + evaluación aprobada","ALTO sin prerequisito (bloquea TRV-002)","INTERVIEW-G6/G9","PREPARADO (condición bloqueante definida)"
duracion,"Sesión 30-40 min; 3-5 min por pregunta; cronometraje por pregunta","Presupuesto de tiempo A-06.6 12-duration + cronómetro","Todas las sesiones","Tiempos registrados por pregunta/sesión","BAJO","INTERVIEW-G9","PREPARADO"
metodo_guia_fija,"Guía DRAFT de 10 preguntas sin variación; mismas preguntas por puesto","Guía congelada con versión registrada","Todas las sesiones","Versión de guía en cada registro","MEDIO si se improvisa","INTERVIEW-G4/G9","PREPARADO"
probes_banco,"Solo probes del banco (04); máx 3 por pregunta; no improvisación; stop rules activas","Plan de probes por pregunta (A-06.7)","Todas las sesiones","Log de probes usados por pregunta","MEDIO","INTERVIEW-G5","PREPARADO"
registro,"Notas STAR por pregunta; evidencia por indicador; flag de revelación SIN contenido; log de incidentes","Formulario de registro piloto","Todas las sesiones","Registros completos con marca PILOTO","MEDIO","INTERVIEW-G9","PREPARADO"
revelacion_involuntaria,"Protocolo 05 activo: no indagar, no registrar contenido, redirigir, flag, revisión si riesgo","Entrenamiento M1/M3 + guion de contención","Todas las sesiones","Flags de revelación (sin contenido); 0 fugas como objetivo","ALTO sin protocolo","LEGAL-G4/G5 + G9","PREPARADO"
doble_revision,"Doble revisión ciega con rúbrica v2 por cada sesión","2 revisores independientes por sesión","Revisores entrenados","Niveles por revisor + comparación","BAJO-MEDIO","INTERVIEW-G8/G9","PREPARADO"
calibracion,"Protocolo de calibración de 7 pasos con checkpoint M-G; 28 casos de referencia","Calibración previa y entre rondas (A-06.7)","Entrevistadores + revisores","Actas de calibración","MEDIO","INTERVIEW-G9","PREPARADO"
incidentes,"Definición, registro y escalación de incidentes; incidentes graves suspenden sesión","Log de incidentes + regla de suspensión","Todas las sesiones","Log de incidentes con resolución","MEDIO","INTERVIEW-G9","PREPARADO"
entorno_no_productivo,"Piloto en entorno separado; sin mezcla con datos productivos","Marca PILOTO en todos los registros; entorno aislado","Todas las sesiones","Evidencia de separación (config/registro)","ALTO si se mezcla","INTERVIEW-G9","PREPARADO"
purge_cierre,"Purge o anonimización de datos del piloto al cierre, con registro en audit trail","Procedimiento de purge (10 §3)","N/A (procedimiento)","Certificado/log de purge","MEDIO","LEGAL-G8","PREPARADO"
alcance_g9,"El piloto demuestra operación/claridad/duración/consistencia/uso/problemas/calidad inicial; NO validez","Límites documentados en 16-g9.md; lenguaje controlado","N/A","Informe de hallazgos con límites explícitos","MEDIO (sobreafirmación)","INTERVIEW-G9/G10","PREPARADO"
