criterionId,category,name,definition,jobRelevance,requiredOrPreferred,evidenceType,instrument,status,version
"CRIT-CAT-CON","CONOCIMIENTOS","Categoria estructural — Conocimientos","Categoría estructural de la taxonomía A-02.1: agrupa criterios de dominio declarativo de contenidos definidos para el puesto. Se concreta únicamente mediante análisis de puesto real (PASO 1-3).","Se define por puesto: requisitos extraídos de functions/responsibilities/knowledge del registro","POR_DEFINIR","PRUEBA_DE_CONOCIMIENTOS","Evaluación de Conocimientos (módulo existente; reactivos futuros derivados del criterio; reserva de calidad documentada en 05 §6)","ESTRUCTURAL-CATEGORIA","1.0"
"CRIT-CAT-HAB","HABILIDADES_COMPETENCIAS","Categoria estructural — Habilidades/Competencias","Categoría estructural: agrupa criterios de capacidades ejecutables y competencias definidas con indicadores conductuales. Hoy sin método conductual implementado: solo auto-reporte orientativo posible.","Se define por puesto: requisitos extraídos de functions/skills/competencies del registro","POR_DEFINIR","AUTO_REPORTE_ORIENTATIVO","EVALHR-PSICOLOGICA-LEGACY (deprecado; histórico conservado) — método conductual FUTURO no diseñado","ESTRUCTURAL-CATEGORIA","1.0"
"CRIT-CAT-EXP","EXPERIENCIA_FORMACION","Categoria estructural — Experiencia/Formación","Categoría estructural: agrupa criterios de trayectoria previa y formación verificables (roles, tiempo, nivel educativo, certificaciones declaradas por la empresa).","Se define por puesto: requisitos extraídos de experience/education del registro","POR_DEFINIR","VERIFICACION_DOCUMENTAL","Verificación documental / entrevista estructurada (FUTURO; no implementado en A-02.1)","ESTRUCTURAL-CATEGORIA","1.0"
"CRIT-CAT-PER","PERSONALIDAD","Categoria estructural — Personalidad","Categoría estructural: agrupa criterios de correspondencia entre requisitos conductuales del puesto y tendencias de rasgo auto-reportadas. La relación rasgo-requisito se documenta como hipótesis (HDC) sin umbral.","Se define por puesto: requisitos conductuales extraídos del registro; vínculo con rasgos solo por HDC (04 §4)","POR_DEFINIR","TENDENCIA_DE_RASGOS","EVALHR-PERSONALIDAD-IPIP50-MX v1.0 (ES-MX-IPIP50-RODRIGO-DE-OLIVEIRA / IPIP50-BFM-1.0)","ESTRUCTURAL-CATEGORIA","1.0"
"CRIT-CAT-INT","INTEGRIDAD","Categoria estructural — Integridad","Categoría estructural: agrupa criterios de integridad declarada. Estatus metodológico ABIERTO: sin validación; la evidencia solo es orientativa y sujeta a revisión humana (07 §3).","Se define por puesto: solo si el análisis real justifica un criterio de integridad declarada","POR_DEFINIR","AUTO_REPORTE_ORIENTATIVO","EVALHR-INTEGRIDAD-LEGACY (10 ítems; sin validación; ""El instrumento actual de integridad de EvaluHR no debe presentarse todavía como prueba psicométrica validada"")","ESTRUCTURAL-CATEGORIA","1.0"
"CRIT-CON-001","CONOCIMIENTOS","Protocolos de servicio al cliente en sala","Dominio declarativo del protocolo de servicio definido por la empresa (contenido exacto por definir con la empresa).","EJEMPLO ILUSTRATIVO — functions[2] del ejemplo hipotético ""Mesero"": atender mesas, tomar y transmitir órdenes. Pendiente de análisis real","PREFERRED","PRUEBA_DE_CONOCIMIENTOS","Evaluación de Conocimientos (futura)","EJEMPLO-ILUSTRATIVO-NO-APROBADO","1.0"
"CRIT-CON-002","CONOCIMIENTOS","Higiene en el manejo de alimentos","Dominio declarativo de las prácticas de higiene y manejo de alimentos definidas por la operativa de la empresa.","EJEMPLO ILUSTRATIVO — responsibilities/conditions del ejemplo hipotético ""Mesero"" (manejo de alimentos en sala y cocina). Pendiente de análisis real","POR_DEFINIR","PRUEBA_DE_CONOCIMIENTOS","Evaluación de Conocimientos (futura)","EJEMPLO-ILUSTRATIVO-NO-APROBADO","1.0"
"CRIT-CMP-001","HABILIDADES_COMPETENCIAS","Atención al cliente","Competencia candidata (CMP-ATC): anticipa y responde a necesidades de clientes con cortesía y seguimiento. Indicadores conductuales en 06-competency-model.md §3.","EJEMPLO ILUSTRATIVO — functions[2] del ejemplo hipotético ""Mesero"" (trato directo prolongado con clientes). Pendiente de análisis real","POR_DEFINIR","EVIDENCIA_CONDUCTUAL_FUTURA","Sin instrumento implementado (método conductual futuro)","EJEMPLO-ILUSTRATIVO-NO-APROBADO","1.0"
"CRIT-CMP-002","HABILIDADES_COMPETENCIAS","Comunicación","Competencia candidata (CMP-COM): transmite información de forma clara, oportuna y comprensible para el receptor. Indicadores en 06-competency-model.md §3.","EJEMPLO ILUSTRATIVO — functions[2] del ejemplo hipotético ""Mesero"" (transmitir órdenes a cocina y comunicarse con clientes). Pendiente de análisis real","POR_DEFINIR","EVIDENCIA_CONDUCTUAL_FUTURA","Sin instrumento implementado (método conductual futuro)","EJEMPLO-ILUSTRATIVO-NO-APROBADO","1.0"
"CRIT-CMP-003","HABILIDADES_COMPETENCIAS","Trabajo en equipo","Competencia candidata (CMP-EQP): coordina acciones con otras personas para lograr un resultado común. Indicadores en 06-competency-model.md §3.","EJEMPLO ILUSTRATIVO — functions del ejemplo hipotético ""Mesero"" (coordinación con cocina y compañeros de sala). Pendiente de análisis real","POR_DEFINIR","EVIDENCIA_CONDUCTUAL_FUTURA","Sin instrumento implementado (método conductual futuro)","EJEMPLO-ILUSTRATIVO-NO-APROBADO","1.0"
