activity,client,evaluaHR,shared,reason,legalReview,status
Definir finalidad del proceso de selección,YES,NO,NO,"El responsable define la finalidad","NO","BORRADOR — CONFIRMADO"
Definir puesto (tareas/requisitos),YES,NO,NO,"Definición del puesto = del cliente","NO","BORRADOR — CONFIRMADO"
Aprobar criterios de evaluación,YES,NO,NO,"Criterios = del responsable","NO","BORRADOR — CONFIRMADO"
Aprobar competencias por puesto,YES,YES,YES,"Cliente aprueba; EvaluHR sugiere/método","NO","BORRADOR — CONFIRMADO"
Elegir preguntas de la guía final,YES,YES,YES,"Cliente aprueba guía; EvaluHR prepara y mantiene banco","YES (carácter de guía)","BORRADOR"
Conducir la entrevista,NO,YES,NO,"EvaluHR opera la herramienta por instrucciones","NO","BORRADOR — CONFIRMADO"
Registrar evidencia STAR,NO,YES,NO,"Ejecución técnica del proceso","NO","BORRADOR — CONFIRMADO"
Revisar evidencia y asignar nivel,YES,YES,YES,"Revisor de EvaluHR + revisión compartida con cliente","NO","BORRADOR — CONFIRMADO"
Decidir contratación,YES,NO,NO,"Decisión laboral exclusivamente humana del cliente","NO","BORRADOR — CONFIRMADO"
Operar plataforma (infra/plataforma),NO,YES,NO,"Proveedor tecnológico","NO","BORRADOR — CONFIRMADO"
Definir instrucciones de tratamiento,YES,YES,YES,"Cliente instruye; EvaluHR documenta y ejecuta","YES","BORRADOR"
Seguridad técnica,NO,YES,NO,"Medidas del proveedor sobre su plataforma","YES (adecuación)","BORRADOR"
Seguridad organizativa (entrenamiento),YES,YES,YES,"Cliente forma a sus entrevistadores; EvaluHR provee materiales M1..M7","NO","BORRADOR"
Gestionar subencargados (cloud/IA),NO,YES,NO,"EvaluHR contrata y notifica; obligaciones equivalentes","YES (mecanismo)","BORRADOR"
Mantener lista de proveedores vigente,NO,YES,NO,"Sujeto a configuración (anexo 10)","YES","BORRADOR — ABIERTO (proveedores sin confirmar)"
Aviso de privacidad al titular,YES,YES,NO,"Cliente responsable del aviso; EvaluHR provee texto/mecanismo","YES (redacción final)","BORRADOR"
Obtener consentimiento del candidato,YES,YES,NO,"Cliente responsable; EvaluHR facilita formato/canal","YES (forma jurídica)","BORRADOR"
Recibir solicitudes ARCO,YES,YES,NO,"Cualquiera de los dos canales deriva al flujo","YES (plazos)","BORRADOR"
Verificar identidad del titular,YES,YES,YES,"Verificación técnica + confirmación del proceso","YES","BORRADOR"
Atender el fondo de ARCO,YES,NO,NO,"El responsable decide procedencia","NO","BORRADOR — CONFIRMADO"
Ejecutar ARCO técnicamente,NO,YES,NO,"Purge/rectificación/suspensión por instrucciones","NO","BORRADOR — CONFIRMADO"
Conservar evidencia del trámite ARCO,YES,YES,NO,"Ambos conservan registros del trámite","NO","BORRADOR — CONFIRMADO"
Definir política de conservación,YES,YES,YES,"Cliente define con EvaluHR; por instrucciones","YES (plazos definitivos)","BORRADOR — ABIERTO"
Implementar conservación y purge,NO,YES,NO,"Ejecución técnica","NO","BORRADOR — CONFIRMADO"
Notificación de brechas (a cliente),NO,YES,NO,"EvaluHR detecta y notifica sin demora","YES (plazos/destinatario)","BORRADOR"
Notificación de brechas (a autoridad),YES,NO,NO,"El responsable notifica a la autoridad vigente (SABG)","YES","BORRADOR"
Permitir auditoría,YES,NO,NO,"Derecho de auditoría del cliente sobre EvaluHR","NO","BORRADOR — CONFIRMADO"
Mantener trazabilidad,NO,YES,NO,"Cadena pregunta→evidencia→nivel→resultado","NO","BORRADOR — CONFIRMADO"
Justificar BFOQ/excepciones,YES,NO,NO,"Justificación = del cliente, con dictamen","YES por caso","BORRADOR — 0 activos"
Propiedad intelectual (plataforma/método),NO,YES,NO,"EvaluHR conserva plataforma y metodología","YES (ajuste fino)","BORRADOR"
Propiedad intelectual (puesto/criterios),YES,NO,NO,"El cliente conserva su definición y decisiones","NO","BORRADOR — CONFIRMADO"
Devolver/eliminar datos al término,YES,YES,NO,"Cliente elige; EvaluHR ejecuta con acreditación","NO","BORRADOR — CONFIRMADO"
