topic,candidateMustKnow,dataCollected,aiInvolved,humanReview,retention,rights,status
Para qué participas,"Evaluar competencias del puesto mediante experiencias reales de trabajo","Respuestas sobre conducta laboral pasada (STAR)","NO","Revisor humano valida evidencia","Según política de conservación [PLAZO POR DICTAMEN]","ARCO + revocación","BORRADOR"
Qué se te preguntará,"Situaciones de trabajo: qué pasó, qué se buscaba, qué hiciste tú, cómo terminó; preguntas fijas y seguimientos predefinidos","Respuestas y notas del entrevistador","Solo sugerencia de seguimientos ya aprobados","Entrevistador registra; revisor evalúa","Igual que el proceso","ARCO","BORRADOR"
Qué NO necesitas proporcionar,"Ningún dato de característica personal (edad, género, embarazo, religión, estado civil, orientación, identidad de género, discapacidad, salud, origen, situación familiar, opiniones)","Nada de estas categorías","NO","El entrevistador no indaga ni registra estos temas","No aplicable (no se recaban)","ARCO","BORRADOR"
Entrevista estructurada,"Mismas preguntas para el puesto; seguimientos de un banco aprobado; nadie improvisa","Versión de guía aplicada (log)","NO","Cumplimiento de guía verificado en auditoría","Registro técnico del proceso","ARCO","BORRADOR"
Revisión humana,"Personas entrevistan, revisan y evalúan; revisor distinto del entrevistador (salvo excepciones registradas)","Justificación de nivel, autor, fecha, versión","La salida de IA es borrador sin efecto","SÍ — núcleo del proceso","Historial append-only del proceso","ARCO (acceso/rectificación append-only)","BORRADOR"
Función de la IA,"Solo asiste: resumir, transcribir si hay fuente consentida (V1: no hay grabación), sugerir seguimientos aprobados, señalar faltantes, adaptar lenguaje","Logs de interacción IA","SÍ — solo asistencia","Toda salida confirmada por humano","Logs según ciclo técnico","ARCO","BORRADOR"
IA no decide,"La IA no decide contratación, no te califica, no infiere atributos, no inventa evidencia","N/A","SÍ (prohibiciones documentadas)","N/A","N/A","ARCO","BORRADOR"
Quién es responsable,"La empresa del proceso (ALIMENTOS PAPO) es responsable de tus datos","Datos del proceso de selección","NO","Empresa decide fondo de ARCO","Mientras dure el proceso + política","ARCO","BORRADOR"
Quién opera la plataforma,"EVALUA HR opera como encargado tecnológico/operativo por instrucciones de la empresa","Logs técnicos","Según anexo IA","N/A","Logs técnicos","ARCO","BORRADOR"
Conservación,"Por el plazo de la política de conservación [PLAZO POR DICTAMEN]; después eliminación o anonimización","Todas las categorías del proceso","N/A","Purge verificado","[PLAZO POR DICTAMEN]","Cancelación anticipada vía ARCO","BORRADOR"
Derechos y contacto,"ARCO + revocación; contacto: Recursos Humanos (Lic. Eva) — restaurantcafedechiapas@gmail.com; canal técnico EvaluHR","Registro de la solicitud ARCO","NO","Empresa atiende; EvaluHR ejecuta","Evidencia del trámite","ARCO completo","BORRADOR"
Si mencionas algo personal sin querer,"No te lo preguntaremos de nuevo; no lo registraremos; no se usará para evaluarte; seguimos con tu experiencia laboral","Solo bandera de incidente SIN contenido","La IA no procesa contenido sensible","Revisor puede invalidar evidencia afectada","Bandera según ciclo de auditoría","ARCO","BORRADOR"
Decisión final,"La decisión la toma la empresa con personas; EvaluHR no decide contrataciones","Resultado de competencias","NO","SÍ","Según política","ARCO","BORRADOR"
