jobId,blueprintId,blueprintVersion,requirementId,assessmentId,assessmentVersion,itemId,itemVersion,scoringVersion,status
cmtvzh6vf0002o0oxh5xee62g,cmtvzh8430003o0nvxaoh4ext,BP-v1,cmtvzh8430004o0nv8mm1odcc,cmtvzh856000ho0nv8fb1ud30,KA-v1,cmtvzh6vh0004o0ox200xlca8,v1,PUB-KS-v1,ACTIVE
cmtvzh6vf0002o0oxh5xee62g,cmtvzh8430003o0nvxaoh4ext,BP-v1,cmtvzh8430005o0nvyub18kmu,cmtvzh856000ho0nv8fb1ud30,KA-v1,cmtvzh6vi0006o0oxgrbfj5vb,v1,PUB-KS-v1,ACTIVE
cmtvzh6vf0002o0oxh5xee62g,cmtvzh8430003o0nvxaoh4ext,BP-v1,cmtvzh8430006o0nvye5w4feq,cmtvzh856000ho0nv8fb1ud30,KA-v1,cmtvzh6vj0008o0ox7dpsu7d8,v1,PUB-KS-v1,ACTIVE
cmtvzh6vf0002o0oxh5xee62g,cmtvzh8430003o0nvxaoh4ext,BP-v1,cmtvzh8430007o0nv7z072h25,cmtvzh856000ho0nv8fb1ud30,KA-v1,cmtvzh6vk000ao0oxaha1wp2w,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003fo0nvpqtx6vd6,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8cf0028o0nv0w9ftw85,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003go0nvu0kg2y6c,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8cg002ao0nv36vqso24,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003ho0nv2zi177in,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8ch002co0nvg0zt6tmk,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003io0nvx1qvnai5,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8ci002eo0nv8rom2foq,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003jo0nvqanpy35l,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8ck002go0nv71s95rxz,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003ko0nv8l7qsxyt,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8cl002io0nv4cy367v9,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003lo0nvwol2qlft,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8cm002ko0nvf8n634dx,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003mo0nvx6zyk5r9,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8cn002mo0nvj7eb0oif,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003no0nvxyg68oza,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8co002oo0nvd76tdwkm,v1,PUB-KS-v1,ACTIVE
cmtvzh6vt000uo0oxwh2fylhp,cmtvzh8dd003eo0nv15mtahjj,BP-v1,cmtvzh8dd003oo0nvc5p3ntf7,cmtvzh8ea004ao0nviafqwyzy,KA-v1,cmtvzh8cp002qo0nvvg6mm3qt,v1,PUB-KS-v1,ACTIVE
