questionId,prePilotStatus,pilotFinding,biasFinding,legalFinding,evidenceQuality,decision,requiredChange,version
Q-MES-SVC-001,PUBLICABLE | KEEP_FOR_REVIEW,"Clara y aplicable; 6/6 instancias completadas; sin improvisacion; probes eficaces",Ninguno,Ninguno,"Alta; rubrica v2 discriminó VALID/LIMITED/INSUFFICIENT correctamente",KEEP,"Ninguno; texto v1.0 estable",v1.0
Q-MES-SVC-002,PUBLICABLE | KEEP_FOR_REVIEW,"Divergencia previa M-G no se reprodujo tras regla RM-1; PROBE-SVC-002-A eficaz para equidad",Halo menor (S-PIL-02) autodetectado y controlado,Ninguno,Alta; CAL-21 aplicada correctamente en patron E,KEEP,"Ninguno",v1.0
Q-MES-COL-001,PUBLICABLE | KEEP_FOR_REVIEW,"Coordinacion emerge bien; PROBE-COL-001-D probado 1 vez con stop rule funcionando (D -> INSUFFICIENT)",Ninguno,Ninguno,Alta en patrones A/J; correcta en patron D,KEEP,"Condicion de PROBE-COL-001-D se mantiene (ver 14-probe-decisions)",v1.0
Q-MES-ORG-001,PUBLICABLE | KEEP_FOR_REVIEW,"Estable; conflicto CV (patron F) manejado con protocolo C-1; PENDING_REVIEW correcto",Tendencia central (S-PIL-06) detectada y corregida,Ninguno,Alta,KEEP,"Ninguno",v1.0
Q-MES-TRV-002,CONDICIONAL | REVISE,"Protocolo 05 probado con exito: revelacion contenida sin registro de contenido; respuesta INVALID; claridad OK",Ninguno,UNINVITED_DISCLOSURE=YES en 1/6 instancias; riesgo gestible solo con protocolo activo,Mixta; contencion anade ~1 min a la pregunta,REVISE,"Mantener CONDICIONAL; entrenamiento M1/M3 real impartido Y evaluado antes de cualquier uso productivo; protocolo 05 obligatorio; sin cambio de texto",v1.0 (propuesta v1.1 sin cambio de texto)
Q-VEN-SVC-001,PUBLICABLE | KEEP_FOR_REVIEW,"Clara; 6/6 instancias; sin improvisacion",Confirmacion (S-PIL-10) detectada en revisor y corregida,Ninguno,Alta,KEEP,"Ninguno",v1.0
Q-VEN-SVC-002,PUBLICABLE | KEEP_FOR_REVIEW,"Estable; patron E -> PENDING_REVIEW correcto (CAL-21); IA lista faltantes util (AI_DRAFT)",Leniency (S-PIL-07) detectada por doble revision y corregida,Ninguno,Alta,KEEP,"Ninguno",v1.0
Q-VEN-COL-001,PUBLICABLE | REVISE,"PROBE-COL-001-D re-pilotado: 1 exito (LIMITED con Action propia parcial) y 1 stop rule (INSUFFICIENT); tono percibido cuestionante en lectura (INC-PIL-007)",Ninguno,Ninguno,Mixta; depende del refinamiento del probe,REVISE,"Refinar introduccion no confrontativa de PROBE-COL-001-D; re-verificar en siguiente ciclo; condicion de tono y max 1 uso se mantienen",v1.0 + probe-set v1.1-DRAFT
Q-VEN-ORG-001,PUBLICABLE | KEEP_FOR_REVIEW,"Estable; conflicto CV (patron F) con C-1; DIS-05 de indicador resuelto con RM-1",Ninguno,Ninguno,Alta,KEEP,"Ninguno",v1.0
Q-VEN-TRV-002,CONDICIONAL | REVISE,"Protocolo 05 probado (INVALID; sin contenido registrado); DIS-06 resuelto con regla H-2 (LIMITED maximo)",Ninguno,UNINVITED_DISCLOSURE=YES en 1/6 instancias,Mixta,REVISE,"Mantener CONDICIONAL; entrenamiento M1/M3 real + protocolo 05; checkpoint V-H; sin cambio de texto",v1.0 + regla-operativa v1.1-DRAFT
