applicationId,assessmentVersion,blueprintVersion,scoringVersion,itemId,itemVersion,snapshotStatus,candidateCanModify,correctAnswerExposed,resultStatus
cmtvw7acn000ko0rbdimpwoqg,LEGACY,LEGACY,LEGACY,N/A,N/A,NULL_LEGACY,NO,NO,LEGACY_UNTOUCHED_PRE_A034
cmtvw7af5001so0w35t6byi2e,KA-v1,BP-v1,PUB-KS-v1,cmtvw7acf0004o0rb3b0jgjt7,v1,FROZEN_KEYED,NO,NO,COMPLETED_SCORED
cmtvw7af5001so0w35t6byi2e,KA-v1,BP-v1,PUB-KS-v1,cmtvw7acg0006o0rblyzf1m9q,v1,FROZEN_KEYED,NO,NO,COMPLETED_SCORED
cmtvw7af5001so0w35t6byi2e,KA-v1,BP-v1,PUB-KS-v1,cmtvw7ach0008o0rbwejaa9ku,v1,FROZEN_KEYED,NO,NO,COMPLETED_SCORED
cmtvw7aht0024o0w3jg0rac41,KA-v2,BP-v2,PUB-KS-v1,cmtvw7acf0004o0rb3b0jgjt7,v2,FROZEN_KEYED,NO,NO,COMPLETED_SCORED
cmtvw7aht0024o0w3jg0rac41,KA-v2,BP-v2,PUB-KS-v1,cmtvw7acg0006o0rblyzf1m9q,v1,FROZEN_KEYED,NO,NO,COMPLETED_SCORED
cmtvw7aht0024o0w3jg0rac41,KA-v2,BP-v2,PUB-KS-v1,cmtvw7ach0008o0rbwejaa9ku,v1,FROZEN_KEYED,NO,NO,COMPLETED_SCORED
cmtvw7aht0024o0w3jg0rac41,KA-v2,BP-v2,PUB-KS-v1,cmtvw7ah1000mo0rblv7uje4e,v1,FROZEN_KEYED,NO,NO,COMPLETED_SCORED
cmtvw7b7u000oo0rbcittnqup,LEGACY,LEGACY,LEGACY,N/A,N/A,NULL_LEGACY,NO,NO,COMPLETED_LEGACY
cmtvw7bhs002oo0w3rr1rd18r,LEGACY,LEGACY,PUB-KS-v1,N/A,N/A,NULL_LEGACY,NO,NO,COMPLETED_NOT_APPLICABLE
cmtvw7bs7002wo0w3au5ah0mo,LEGACY,LEGACY,PUB-KS-v1,N/A,N/A,NULL_LEGACY,NO,NO,COMPLETED_NOT_APPLICABLE
cmtvw7c1q0037o0w36w28981h,KA-v3,BP-v3,PUB-KS-v1,cmtvw7acf0004o0rb3b0jgjt7,v2,FROZEN_KEYED,NO,NO,IN_PROGRESS_FROZEN
cmtvw7c1q0037o0w36w28981h,KA-v3,BP-v3,PUB-KS-v1,cmtvw7acg0006o0rblyzf1m9q,v1,FROZEN_KEYED,NO,NO,IN_PROGRESS_FROZEN
cmtvw7c1q0037o0w36w28981h,KA-v3,BP-v3,PUB-KS-v1,cmtvw7ach0008o0rbwejaa9ku,v1,FROZEN_KEYED,NO,NO,IN_PROGRESS_FROZEN
cmtvw7c1q0037o0w36w28981h,KA-v3,BP-v3,PUB-KS-v1,cmtvw7ah1000mo0rblv7uje4e,v1,FROZEN_KEYED,NO,NO,IN_PROGRESS_FROZEN
cmtvw7c1q0037o0w36w28981h,KA-v3,BP-v3,PUB-KS-v1,cmtvw7c11000so0rb04hr4zdw,v1,FROZEN_KEYED,NO,NO,IN_PROGRESS_FROZEN
