issue,currentDesign,legalQuestion,risk,evidence,recommendedAnalysis,status
RES-01,"Empresa cliente = responsable del tratamiento; EvaluHR = encargado por instrucción (14)","¿La clasificación Empresa = responsable / EvaluHR = encargado es jurídicamente correcta?","ALTO si la clasificación es incorrecta: obligaciones mal asignadas ante el titular y la autoridad","14-responsibility-model.md; 11-contract-package.md §1.3","Analizar arts. 19-20 LFPDPPP; verificar situaciones S1-S7 (14 §3)","OPEN — espera dictamen"
RES-02,"Tratamientos: identificativos, experiencia, respuestas STAR, evidencia, revisión, auditoría (06)","¿Qué fundamento jurídico corresponde a cada tratamiento?","MEDIO: tratamiento sin base habilitante","06-data-inventory.md","Asignar base habilitante por fila del inventario (consentimiento/obligación/interés legítimo según aplicable)","OPEN — espera dictamen"
CON-01,"Consentimiento granular propuesto por bloque C1-C4 (13)","¿Qué tratamientos requieren consentimiento y en qué forma (expreso/tácito)?","ALTO: consentimiento monolítico insuficiente","13-consent-package.md §2","Determinar base por tratamiento y forma válida conforme legislación vigente","OPEN — espera dictamen"
CON-02,"Borrador de estructura de consentimiento (13)","¿Cuál debe ser la redacción definitiva del consentimiento?","MEDIO: redacción defectuosa invalida la manifestación","13-consent-package.md §3","Redactar versión definitiva por bloque; probar legibilidad","OPEN — espera dictamen"
RET-01,"Plazos = [PLAZO POR DICTAMEN LEGAL]; recomendación operativa histórica de 2 años NO como obligación (10)","¿Cuál es el plazo legal/recomendado de conservación por categoría (contratado vs no contratado)?","MEDIO: sobreconservación o eliminación prematura","10-retention.md","Fijar plazo por categoría; regla de bloqueo previo a eliminación","OPEN — espera dictamen"
SEN-01,"Diseño no solicita datos sensibles; no se capturan grabaciones (06 §2.6; 07)","¿Qué datos sensibles pueden tratarse, si alguno?","ALTO si se habilitara sin base: discriminación y sanción","07-sensitive-data.md; 06-data-inventory.md §2.6","Confirmar prohibición de captura y condiciones de cualquier futura excepción","OPEN — espera dictamen"
SEN-02,"Protocolo UNINVITED_DISCLOSURE de 6 pasos; solo flag YES/NO sin contenido (07)","¿Es jurídicamente suficiente el manejo de la revelación involuntaria?","ALTO: exposición de dato sensible sin base","07-sensitive-data.md §2-§4","Evaluar suficiencia del protocolo y del registro de solo-flag","OPEN — espera dictamen"
PRA-01,"Aviso de selección con 8 bloques exigibles (12)","¿Qué información debe contener el aviso de privacidad del proceso?","ALTO: aviso incompleto nulifica habilitaciones","12-privacy-package.md","Revisar cada bloque; asegurar coherencia con práctica real","OPEN — espera dictamen"
PRA-02,"Aviso existente del proyecto como referencia interna, no modificado (12 §0)","¿Qué cambios exige el aviso existente?","MEDIO: discrepancia aviso-práctica","12-privacy-package.md §3","Listar cambios concretos al aviso actual","OPEN — espera dictamen"
PRA-03,"Declaración de no captura de grabaciones; transcripción solo con fuente consentida (12 §1.3; 08 §1.2)","¿Se requiere aviso específico o consentimiento para cualquier transcripción futura?","MEDIO: voz como potencial dato personal/sensible","08-ai-package.md §1.2; 12 §1.3","Determinar condiciones de cualquier habilitación futura","OPEN — espera dictamen"
