phase,previousClaim,currentEvidence,status,difference,explanation,source
A-01.2,"IPIP-50-MX implementado","grep IPIP en src/prisma/scripts/public = 0; git log -S ""IPIP"" -- src/ = 0 commits; -S ""IPIP50-MX"" = 0 commits; 0 en ramas clean-main/main-clean/origin/main",CONTRADICTED,"El instrumento IPIP-50-MX nunca existió en esta historia git (ni implementado ni eliminado)","El expediente evidence-a01-2/ NO está en disco: no se puede verificar el texto original del reclamo. El único artefacto contemporáneo in-repo (AUDITORIA_EVALUHR.md L17/L111, commit fd38991) dice explícitamente que los ítems son del desarrollador y SIN citar IPIP. No se inventa explicación: o A-01.2 describió un diseño nunca materializado o se redactó sobre un estado externo a este historial","evidence-a04-4/02-ipip-reconciliation.md; git log -S; AUDITORIA_EVALUHR.md L17/L111"
A-01.2,"Expediente de la fase disponible para contraste","carpeta evidence-a01-2/ inexistente en disco",NOT_VERIFIABLE,"no contrastable","limitación honesta de fuentes; se compara solo contra artefactos dentro del repo",LS /home/z/my-project
A-01.3,"—","carpeta evidence-a01-3/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco; nada que citar sin inventar",LS /home/z/my-project
A-02.1,"—","carpeta evidence-a02-1/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco",LS /home/z/my-project
A-02.2,"—","carpeta evidence-a02-2/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco",LS /home/z/my-project
A-02.3,"—","carpeta evidence-a02-3/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco",LS /home/z/my-project
A-02.4,"—","carpeta evidence-a02-4/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco",LS /home/z/my-project
A-02.5,"—","carpeta evidence-a02-5/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco",LS /home/z/my-project
A-03.1,"—","carpeta evidence-a03-1/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco",LS /home/z/my-project
A-03.2,"—","carpeta evidence-a03-2/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco; el criterio de scoring referenciado por canonical (""approved A-03.2 criterion"") permanece citado en código",LS /home/z/my-project; src/lib/knowledge-canonical.ts L729
A-03.3,"—","carpeta evidence-a03-3/ inexistente en disco",NOT_VERIFIABLE,"—","sin expediente en disco",LS /home/z/my-project
