questionId,jobExample,competencyId,indicatorId,caseId,starCompleteness,behaviorEvidence,evidenceState,probeEffectiveness,biasStatus,legalStatus,result,notes
Q-MES-SVC-001,MESERO,COMP-SVC-001,IND-SVC-001-A|C|D,M-A,COMPLETO (S/T/A/R),Action específica (escuchó/explicó/mantuvo calma),VALID (SUPPORTED),VALID (UNI-003 extrajo R),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Caso ideal; 3 indicadores 1 ejemplo"
Q-MES-SVC-001,MESERO,COMP-SVC-001,,M-B,AUSENTE (opinión),Ninguna,INSUFFICIENT,VALID (UNI-005 redirigió sin éxito),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Afirmación general; INSUFFICIENT ≠ 0"
Q-MES-SVC-001,MESERO,COMP-SVC-001,,M-C,AUSENTE (intención),Ninguna (intención),LIMITED,VALID (UNI-005 redirigió sin éxito),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"HYPOTHETICAL → LIMITED (no SUPPORTED)"
Q-MES-COL-001,MESERO,COMP-COL-001,IND-COL-001-A|B,M-D,PARCIAL (S/T/R sin A propia),Action del chef no del candidato,INSUFFICIENT,VALID (UNI-001 reveló ausencia de Action propia),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Sin Action propia → INSUFFICIENT"
Q-MES-ORG-001,MESERO,COMP-ORG-001,,M-E,AUSENTE (R sin conducta),Ninguna,PENDING_REVIEW,VALID (UNI-001 reveló ausencia),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Resultado 30% sin Action → PENDING_REVIEW"
Q-MES-ORG-001,MESERO,COMP-ORG-001,,M-F,AUSENTE,Ninguna,PENDING_REVIEW,VALID (UNI-001/002),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"CV supervisé 15 personas vs entrevista sin conducta → CONFLICT"
Q-MES-SVC-002,MESERO,COMP-SVC-002,IND-SVC-002-B (parcial),M-G,PARCIAL (S/T/A parcial sin R),Action parcial (solo cambio; sin emoción/alternativas),LIMITED,VALID (UNI-001),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"1 indicador → LIMITED; divergencia inter-evaluador documentada"
Q-MES-TRV-002,MESERO,COMP-TRV-002,IND-TRV-002-A|B,M-H,PARCIAL (R parcial),Action (aprendió a manejar quejas celiacos) + revelación involuntaria (embarazo),INVALID (atributo) + LIMITED (conducta),NO necesario,PUBLICABLE (pregunta),PUBLICABLE,KEEP_FOR_REVIEW,"Revelación involuntaria manejada: no registrada/no usada; conducta sí"
Q-MES-TRV-002,MESERO,COMP-TRV-002,,M-I,AUSENTE (entry-level sin experiencia),Ninguna,NO_EVIDENCE,VALID (UNI-005),PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Entry-level: NO_EVIDENCE legítimo; complementar con situacional"
Q-MES-COL-001,MESERO,COMP-COL-001,IND-COL-001-A|C|D,M-J,COMPLETO ×2 (2 ejemplos),Action ×2 (coordinó/cubrió mesas),VALID (STRONG),NO necesario,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"2+ ejemplos con indicadores consistentes → STRONG"
Q-VEN-SVC-001,VENDEDOR,COMP-SVC-001,IND-SVC-001-A|C|D,V-A,COMPLETO,Action específica + Result verificable (cliente compró),VALID (SUPPORTED),VALID,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Caso ideal VENDEDOR"
Q-VEN-SVC-002,VENDEDOR,COMP-SVC-002,,V-B,AUSENTE (opinión),Ninguna,INSUFFICIENT,VALID,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Afirmación general"
Q-VEN-SVC-002,VENDEDOR,COMP-SVC-002,,V-C,AUSENTE (intención),Ninguna (intención),LIMITED,VALID,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"HYPOTHETICAL → LIMITED"
Q-VEN-COL-001,VENDEDOR,COMP-COL-001,,V-D,PARCIAL (sin A propia),Action del supervisor no del candidato,INSUFFICIENT,LIMITED (probes no extrajeron Action propia con claridad),PUBLICABLE,PUBLICABLE,REVISE,"Probe necesita mejora: proponer PROBE-COL-001-D"
Q-VEN-ORG-001,VENDEDOR,COMP-ORG-001,,V-E,AUSENTE (R sin conducta),Ninguna,PENDING_REVIEW,VALID,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Resultado sin Action"
Q-VEN-TRV-002,VENDEDOR,COMP-TRV-002,,V-F,AUSENTE,Ninguna,PENDING_REVIEW,VALID,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"CV supervisé 15 empleados vs sin conducta → CONFLICT"
Q-VEN-SVC-001,VENDEDOR,COMP-SVC-001,IND-SVC-001-A (parcial),V-G,PARCIAL,Action parcial (1 indicador),LIMITED,VALID,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"1 indicador → LIMITED"
Q-VEN-TRV-002,VENDEDOR,COMP-TRV-002,IND-TRV-002-A|B,V-H,PARCIAL,Action (adaptación) + revelación involuntaria (religión),INVALID (atributo) + LIMITED (conducta),NO necesario,PUBLICABLE (pregunta),PUBLICABLE,REVISE,"Revelación manejada; reforzar entrenamiento entrevistador"
Q-VEN-COL-001,VENDEDOR,COMP-COL-001,,V-I,AUSENTE (entry-level),Ninguna,NO_EVIDENCE,VALID,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"Entry-level: NO_EVIDENCE legítimo"
Q-VEN-ORG-001,VENDEDOR,COMP-ORG-001,IND-ORG-001-A|B,V-J,COMPLETO ×2,Action ×2 (priorizó/planificó 2 situaciones),VALID (STRONG),NO necesario,PUBLICABLE,PUBLICABLE,KEEP_FOR_REVIEW,"2+ ejemplos → STRONG"
